January,February,March,April,May,June,July,August,September,October,November,December
-1.0,1.0,6.0,15.0,16.5,12.5,16.5,20.5,22.0,15.5,3.5,7.5
-0.5,-0.5,7.0,12.0,16.5,15.0,19.5,19.5,24.5,18.5,4.0,3.0
1.5,-2.5,9.5,15.0,18.0,16.5,21.0,21.5,23.0,18.0,4.5,6.0
2.0,-1.0,10.5,14.0,16.5,19.0,20.0,24.0,22.5,15.5,5.0,3.0
1.0,2.0,12.5,10.0,16.5,17.5,18.5,25.0,23.5,14.0,8.0,0.0
2.0,4.0,12.0,11.0,11.5,20.0,21.0,24.5,23.5,16.5,8.5,-2.0
1.5,-0.5,9.0,11.5,12.5,22.0,18.0,23.0,21.5,18.0,12.5,-3.5
-0.5,1.0,8.0,9.5,11.0,22.5,22.5,23.5,22.5,20.0,10.5,-1.0
0.5,1.0,7.5,8.5,12.0,23.0,21.5,25.0,24.0,17.5,8.0,-0.5
1.0,4.0,10.0,15.0,14.5,24.0,21.0,24.0,23.5,18.0,8.0,1.0
4.0,3.0,8.0,12.5,16.5,23.5,23.0,23.0,19.5,14.0,9.5,0.5
2.5,4.0,10.0,13.5,15.5,24.5,21.5,24.0,22.0,13.5,6.5,4.0
1.5,6.5,11.5,12.0,17.5,23.0,22.5,24.5,19.5,12.5,8.0,4.5
1.0,4.5,13.5,10.0,21.5,20.5,23.5,24.0,20.0,10.5,4.5,2.5
1.5,5.5,13.0,10.5,21.5,23.0,24.5,25.0,16.5,6.5,2.5,2.0
2.0,4.0,13.0,7.0,21.0,22.5,22.5,23.5,17.5,6.5,2.0,0.5
-0.5,1.0,14.0,8.5,21.0,23.5,23.0,18.5,18.0,7.5,2.0,-0.5
-2.0,0.5,11.5,9.0,19.0,20.5,18.0,22.0,19.5,7.5,0.5,0.5
-2.5,4.5,12.0,9.5,18.5,16.5,21.0,22.0,19.5,7.0,2.5,2.0
1.0,4.0,10.0,10.0,18.5,20.5,21.0,23.0,18.0,10.5,2.0,4.0
3.0,2.5,8.5,12.0,18.5,20.0,20.0,21.0,19.0,13.0,2.5,5.5
4.0,3.5,8.0,9.5,18.5,17.5,20.0,21.5,18.5,12.5,3.0,7.0
3.5,5.5,6.5,12.0,16.0,19.0,22.5,22.0,17.5,12.0,4.5,6.0
3.0,5.0,12.5,10.5,18.5,18.5,22.5,23.0,19.0,12.5,4.0,3.5
2.0,6.0,9.0,12.0,14.5,15.5,25.0,23.0,16.0,5.5,5.0,2.5
2.5,9.5,12.0,14.5,18.5,15.5,25.5,23.5,14.5,3.5,4.0,3.5
1.5,9.0,11.0,11.5,20.0,13.0,22.0,24.0,16.0,6.0,3.5,4.0
1.5,6.5,11.0,14.5,19.5,20.0,23.0,22.0,14.5,2.0,6.0,1.5
0.0,0.0,8.0,15.0,15.0,20.0,20.0,20.5,18.5,-0.5,6.5,1.0
0.5,0.0,8.5,15.5,18.0,17.5,21.5,18.5,17.0,1.5,8.5,-0.5
1.0,0.0,11.5,0.0,15.5,0.0,21.5,21.0,0.0,6.0,0.0,-1.0
