January,February,March,April,May,June,July,August,September,October,November,December
-4.0,2.0,3.0,8.0,12.0,21.0,22.0,22.5,18.5,13.5,7.0,0.5
-5.0,1.0,4.5,12.5,14.5,23.0,22.5,24.5,17.0,10.5,10.0,1.0
-1.5,2.5,5.0,10.5,15.0,17.0,23.5,25.5,16.5,13.5,11.0,3.0
-4.5,2.5,5.0,8.0,18.0,20.0,23.0,25.5,12.5,12.5,10.0,0.5
-1.5,1.0,3.0,13.0,17.5,20.5,23.5,26.5,16.0,10.5,10.5,2.5
0.0,2.5,4.5,12.0,15.5,21.5,24.5,24.5,14.5,14.5,12.0,2.0
1.0,5.0,5.5,16.5,16.0,24.0,23.5,23.5,16.5,13.0,12.5,-0.5
2.5,0.5,5.0,14.5,16.5,23.5,18.5,24.0,15.5,11.5,9.0,1.0
0.5,2.5,3.5,11.5,17.5,24.5,22.5,22.5,17.0,13.5,8.5,3.0
-3.0,0.5,4.5,10.5,19.5,23.0,20.0,20.0,19.5,11.0,9.5,0.0
1.0,1.0,6.5,10.0,17.0,21.0,17.5,22.5,17.5,12.5,9.0,3.0
3.5,0.5,6.5,9.0,16.5,19.5,18.0,23.0,19.0,15.5,8.5,1.0
2.0,1.5,8.0,8.5,14.5,17.0,17.5,23.5,16.0,17.5,7.0,-0.5
4.0,1.5,9.5,15.5,15.5,20.5,17.5,24.0,16.5,16.0,5.5,0.5
3.0,0.5,10.0,12.0,17.5,20.5,20.0,23.5,15.0,12.0,8.0,2.0
2.0,2.5,9.5,13.0,18.0,20.5,24.0,26.0,17.0,10.0,6.5,2.5
-2.0,0.0,13.5,13.0,17.5,23.5,23.0,26.5,17.5,11.0,1.0,3.0
-0.5,2.5,15.5,12.0,17.5,19.0,25.0,24.5,20.5,12.0,0.5,0.5
0.0,2.0,15.0,14.0,19.0,20.0,21.5,23.5,20.5,12.5,0.0,0.5
1.0,5.0,14.0,14.5,24.5,22.0,19.5,26.5,21.0,13.5,-2.5,1.5
0.0,2.5,11.5,16.5,17.0,21.0,21.0,24.0,22.0,11.0,-0.5,3.0
0.5,1.0,13.0,15.0,17.0,21.5,21.5,24.5,20.5,6.5,-1.0,3.0
0.0,-0.5,12.5,14.5,17.5,20.0,19.5,25.0,21.5,9.0,-1.5,-2.5
1.0,1.0,10.0,16.0,19.0,23.0,19.5,23.5,16.0,9.5,2.0,-0.5
6.5,1.5,8.5,14.5,21.5,19.0,21.0,23.5,15.5,9.5,1.5,-1.5
1.0,1.0,10.5,17.0,21.5,23.0,22.5,21.5,13.5,6.5,3.0,0.0
2.0,1.0,5.0,17.0,24.0,19.0,20.0,18.5,13.5,6.0,1.0,1.5
0.5,1.5,6.0,15.5,19.5,23.0,23.5,21.0,11.5,3.5,-0.5,-6.0
1.5,0.0,6.0,17.0,19.0,17.0,24.5,18.0,13.5,4.5,-1.0,-5.5
1.5,0.0,7.0,14.0,19.0,21.0,25.0,15.0,12.5,3.0,-1.0,-4.5
0.5,0.0,6.5,0.0,23.0,0.0,24.0,21.0,0.0,4.5,0.0,-4.5
