January,February,March,April,May,June,July,August,September,October,November,December
0.2,4.7,-3.4,13.5,21.0,21.05,22.3,26.0,25.6,14.2,11.25,-1.55
1.3,3.7,-1.4,12.4,21.2,21.9,24.0,24.1,25.45,11.8,10.8,-1.45
4.4,4.45,-3.0,11.35,20.8,20.9,24.05,23.1,23.6,10.25,10.2,1.0
3.2,2.2,-0.95,11.5,19.1,21.55,25.4,24.3,21.8,11.0,9.7,0.25
1.5,1.1,1.4,11.4,17.8,22.4,19.2,22.1,19.65,12.1,11.15,1.9
2.45,-1.4,1.6,12.6,15.75,19.85,20.4,22.45,20.5,12.4,10.15,2.45
2.5,-1.4,2.2,12.4,17.2,20.3,17.35,21.0,20.35,13.6,11.6,0.05
-0.2,-1.1,3.45,10.6,17.45,16.8,19.9,21.45,22.4,15.1,9.75,-2.1
-0.45,1.3,7.0,9.65,13.65,17.1,18.6,20.85,19.2,15.15,8.5,2.1
1.0,1.7,7.3,12.1,14.1,18.0,19.4,21.0,20.8,15.2,8.75,-0.8
-0.4,3.25,3.45,12.7,16.65,17.9,22.0,22.1,20.15,12.65,7.6,-3.2
0.15,3.45,8.0,11.0,17.8,19.9,23.6,23.3,19.4,11.6,6.25,0.65
1.55,6.3,8.3,14.7,17.5,22.1,23.0,23.4,19.9,12.05,6.55,3.8
-1.8,5.45,7.65,15.25,15.3,18.6,25.5,19.7,21.35,12.15,4.9,4.0
-2.7,4.4,9.6,15.25,17.7,21.1,25.7,20.9,21.45,10.1,5.5,1.5
-2.8,4.4,11.0,10.8,17.15,24.7,24.2,20.0,21.4,10.25,6.85,0.4
-2.3,4.4,11.9,9.65,16.55,24.4,26.1,24.05,16.6,9.65,8.85,5.2
-2.95,1.35,14.45,13.4,14.0,26.6,25.7,22.7,14.5,11.6,4.4,0.4
4.8,1.8,16.6,13.05,19.2,26.85,23.5,23.5,15.4,10.8,4.2,-1.85
1.0,2.8,12.1,12.5,18.4,25.4,25.2,17.75,18.0,11.05,-0.1,-1.0
3.3,3.5,13.1,13.2,18.85,26.5,25.8,16.05,16.7,12.65,1.1,-2.2
5.5,2.4,9.65,10.6,22.3,27.2,22.4,16.4,18.1,12.2,3.1,-1.85
0.9,2.55,11.75,11.15,17.1,28.0,21.0,19.3,18.6,13.25,3.2,-4.45
0.65,2.45,14.4,11.6,19.85,27.3,22.2,22.6,19.5,15.0,1.5,-2.85
0.3,2.45,13.7,10.25,20.9,26.4,24.35,21.75,17.0,14.8,-0.75,-1.9
1.4,3.3,14.2,15.35,21.4,27.45,26.75,23.2,16.8,13.95,-0.25,-1.7
1.85,1.4,15.0,16.6,22.85,28.2,27.6,21.95,17.3,12.5,0.2,0.4
-1.6,-1.7,15.7,17.2,23.8,28.3,27.35,21.4,18.85,10.5,0.0,0.1
-0.2,0.0,13.2,19.6,25.5,25.3,28.0,23.25,16.1,10.3,-1.6,-0.1
-0.5,0.0,12.85,18.75,24.4,25.7,28.6,24.45,15.5,8.4,-0.6,-4.95
0.15,0.0,13.1,0.0,23.6,0.0,26.0,25.0,0.0,8.85,0.0,-3.9
