Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Oxygen Production (kg/yr),Name
24.0,18.0,254.5,7.2,80.2,Platanus x hispanica
7.0,4.0,12.6,2.1,36.3,Aesculus hippocastanum
5.0,3.0,7.1,1.5,2.1,Celtis australis
6.0,4.0,12.6,1.8,3.5,Celtis australis
7.0,6.0,28.3,2.1,14.3,Platanus x hispanica
4.0,2.0,3.1,1.2,3.8,Tilia cordata
5.0,4.0,12.6,1.5,13.0,Tilia cordata
11.0,10.0,78.5,3.3,18.8,Platanus x hispanica
4.0,3.0,7.1,1.2,3.8,Tilia cordata
10.0,9.0,63.6,3.0,30.3,Platanus x hispanica
4.5,3.0,7.1,1.3,1.8,Celtis australis
4.0,2.0,3.1,1.2,9.2,Carpinus betulus
25.0,14.0,153.9,7.5,97.2,Platanus x hispanica
4.0,2.0,3.1,1.2,4.4,Aesculus hippocastanum
6.0,4.5,15.9,1.8,5.0,Aesculus hippocastanum
3.0,1.0,0.8,0.9,4.5,Carpinus betulus
25.0,18.0,254.5,7.5,1.8,Platanus x hispanica
7.0,6.0,28.3,2.1,26.3,Aesculus hippocastanum
12.0,12.0,113.1,3.6,59.5,Aesculus hippocastanum
8.0,8.0,50.3,2.4,2.6,Celtis australis
4.5,4.0,12.6,1.3,5.6,Carpinus betulus
6.0,2.0,3.1,1.8,1.7,Carpinus betulus
4.0,3.0,7.1,1.2,2.5,Celtis australis
6.0,3.0,7.1,1.8,7.2,Platanus x hispanica
20.0,17.0,227.0,6.0,21.7,Platanus x hispanica
6.0,6.0,28.3,1.8,16.5,Aesculus hippocastanum
10.0,10.0,78.5,3.0,46.9,Aesculus hippocastanum
6.0,2.0,3.1,1.8,1.7,Carpinus betulus
12.0,3.0,7.1,3.6,10.5,Carpinus betulus
11.0,11.0,95.0,3.3,59.3,Aesculus hippocastanum
6.0,5.0,19.6,1.8,4.8,Celtis australis
10.0,10.0,78.5,3.0,35.8,Aesculus hippocastanum
4.0,2.0,3.1,1.2,2.0,Platanus x hispanica
6.0,5.0,19.6,1.8,2.1,Celtis australis
4.0,3.0,7.1,1.2,9.2,Carpinus betulus
12.0,8.0,50.3,3.6,1.2,Celtis australis
4.0,2.0,3.1,1.2,8.6,Carpinus betulus
14.0,7.0,38.5,4.2,8.6,Carpinus betulus
12.0,10.0,78.5,3.6,3.0,Celtis australis
10.0,5.0,19.6,3.0,30.7,Aesculus hippocastanum
4.0,2.5,4.9,1.2,3.0,Tilia cordata
9.0,7.0,38.5,2.7,4.2,Celtis australis
23.0,10.0,78.5,6.9,89.9,Platanus x hispanica
8.0,5.0,19.6,2.4,8.6,Tilia cordata
9.0,3.0,7.1,2.7,2.2,Celtis australis
9.0,7.0,38.5,2.7,3.4,Celtis australis
6.4,4.4,14.9,1.9,6.8,Tilia cordata
3.0,2.0,3.1,0.9,2.4,Aesculus hippocastanum
6.0,5.0,19.6,1.8,6.1,Carpinus betulus
4.0,2.0,3.1,1.2,8.6,Carpinus betulus
6.0,6.0,28.3,1.8,2.6,Celtis australis
4.0,2.0,3.1,1.2,9.2,Carpinus betulus
