Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Oxygen Production (kg/yr),Name
6.0,7.0,38.5,1.8,2.6,Celtis australis
4.0,1.5,1.8,1.2,3.0,Carpinus betulus
5.0,4.0,12.6,1.5,9.2,Carpinus betulus
12.0,11.0,95.0,3.6,4.5,Celtis australis
3.0,1.0,0.8,0.9,2.6,Carpinus betulus
7.0,6.0,28.3,2.1,9.3,Aesculus hippocastanum
6.0,5.0,19.6,1.8,3.0,Celtis australis
8.0,8.0,50.3,2.4,3.9,Celtis australis
4.0,4.0,12.6,1.2,2.1,Celtis australis
12.0,9.0,63.6,3.6,36.1,Aesculus hippocastanum
8.3,6.7,35.2,2.5,3.5,Celtis australis
8.3,6.7,35.2,2.5,3.5,Celtis australis
4.0,1.5,1.8,1.2,3.0,Carpinus betulus
7.0,5.0,19.6,2.1,10.5,Carpinus betulus
24.0,17.0,227.0,7.2,75.4,Platanus x hispanica
12.0,10.0,78.5,3.6,4.6,Celtis australis
6.0,4.0,12.6,1.8,5.0,Carpinus betulus
6.0,3.0,7.1,1.8,14.1,Carpinus betulus
8.5,6.0,28.3,2.6,3.4,Celtis australis
22.0,15.0,176.7,6.6,80.2,Platanus x hispanica
7.0,5.0,19.6,2.1,4.7,Tilia cordata
5.0,3.0,7.1,1.5,7.2,Platanus x hispanica
7.0,4.0,12.6,2.1,9.3,Aesculus hippocastanum
10.0,8.0,50.3,3.0,30.7,Aesculus hippocastanum
6.0,4.5,15.9,1.8,6.5,Tilia cordata
13.0,10.0,78.5,3.9,4.7,Celtis australis
6.0,6.0,28.3,1.8,39.4,Aesculus hippocastanum
6.0,6.0,28.3,1.8,6.5,Tilia cordata
7.0,7.0,38.5,2.1,11.7,Platanus x hispanica
24.0,16.0,201.1,7.2,97.3,Platanus x hispanica
4.0,2.0,3.1,1.2,9.2,Carpinus betulus
8.3,6.7,35.2,2.5,3.5,Celtis australis
8.0,7.0,38.5,2.4,9.4,Platanus x hispanica
8.0,3.5,9.6,2.4,6.9,Aesculus hippocastanum
5.0,3.0,7.1,1.5,3.4,Tilia cordata
6.0,7.0,38.5,1.8,3.4,Celtis australis
8.0,5.0,19.6,2.4,8.9,Carpinus betulus
7.0,4.0,12.6,2.1,20.8,Aesculus hippocastanum
4.0,1.5,1.8,1.2,3.0,Carpinus betulus
6.0,4.0,12.6,1.8,5.6,Tilia cordata
10.0,11.0,95.0,3.0,21.8,Platanus x hispanica
8.0,8.0,50.3,2.4,10.2,Tilia cordata
4.0,2.5,4.9,1.2,3.0,Tilia cordata
6.0,4.0,12.6,1.8,5.1,Tilia cordata
10.0,8.0,50.3,3.0,3.9,Celtis australis
7.0,8.0,50.3,2.1,30.2,Aesculus hippocastanum
6.0,5.0,19.6,1.8,3.4,Celtis australis
8.3,6.7,35.2,2.5,3.5,Celtis australis
11.0,10.0,78.5,3.3,47.1,Aesculus hippocastanum
3.0,1.0,0.8,0.9,1.4,Celtis australis
6.0,7.0,38.5,1.8,10.5,Carpinus betulus
6.0,4.0,12.6,1.8,7.2,Platanus x hispanica
4.0,2.5,4.9,1.2,3.0,Tilia cordata
4.5,3.0,7.1,1.3,1.8,Celtis australis
5.0,4.0,12.6,1.5,3.0,Tilia cordata
22.0,14.0,153.9,6.6,82.6,Platanus x hispanica
14.0,4.0,12.6,4.2,17.5,Carpinus betulus
4.0,2.0,3.1,1.2,5.6,Carpinus betulus
6.5,5.0,19.6,1.9,8.6,Platanus x hispanica
24.0,18.0,254.5,7.2,5.0,Platanus x hispanica
6.0,8.0,50.3,1.8,3.4,Celtis australis
7.0,6.0,28.3,2.1,16.6,Aesculus hippocastanum
9.0,9.0,63.6,2.7,31.4,Platanus x hispanica
22.0,18.0,254.5,6.6,82.6,Platanus x hispanica
7.0,6.0,28.3,2.1,15.0,Aesculus hippocastanum
6.0,6.0,28.3,1.8,7.9,Platanus x hispanica
8.0,6.0,28.3,2.4,16.8,Carpinus betulus
12.0,13.0,132.7,3.6,79.3,Aesculus hippocastanum
4.0,1.5,1.8,1.2,3.0,Carpinus betulus
15.0,12.5,122.7,4.5,5.6,Celtis australis
8.0,7.0,38.5,2.4,4.9,Celtis australis
4.0,2.5,4.9,1.2,3.0,Tilia cordata
5.5,5.0,19.6,1.7,10.5,Aesculus hippocastanum
5.0,2.0,3.1,1.5,6.0,Aesculus hippocastanum
4.0,4.0,12.6,1.2,2.0,Celtis australis
8.0,2.0,3.1,2.4,5.9,Platanus x hispanica
10.0,8.0,50.3,3.0,4.4,Celtis australis
16.0,18.0,254.5,4.8,1.8,Platanus x hispanica
22.0,11.0,95.0,6.6,97.2,Platanus x hispanica
6.0,6.0,28.3,1.8,7.2,Platanus x hispanica
4.0,2.5,4.9,1.2,3.0,Tilia cordata
4.0,2.0,3.1,1.2,0.9,Celtis australis
8.3,6.7,35.2,2.5,3.5,Celtis australis
8.0,4.0,12.6,2.4,46.5,Aesculus hippocastanum
5.0,1.5,1.8,1.5,5.9,Platanus x hispanica
8.0,4.0,12.6,2.4,6.0,Tilia cordata
8.0,5.0,19.6,2.4,10.5,Carpinus betulus
15.0,12.0,113.1,4.5,5.1,Celtis australis
3.5,1.0,0.8,1.0,1.3,Celtis australis
6.0,5.0,19.6,1.8,5.1,Tilia cordata
9.0,7.0,38.5,2.7,3.4,Celtis australis
10.0,6.0,28.3,3.0,4.8,Celtis australis
3.0,1.0,0.8,0.9,1.2,Tilia cordata
26.0,22.0,380.1,7.8,21.7,Platanus x hispanica
14.0,12.0,113.1,4.2,5.6,Celtis australis
9.0,7.0,38.5,2.7,3.2,Celtis australis
4.5,3.0,7.1,1.3,1.8,Celtis australis
4.5,2.5,4.9,1.3,4.0,Carpinus betulus
5.0,6.0,28.3,1.5,3.4,Celtis australis
6.0,3.0,7.1,1.8,3.0,Carpinus betulus
25.0,10.0,78.5,7.5,0.7,Platanus x hispanica
7.0,4.0,12.6,2.1,5.6,Tilia cordata
13.0,9.0,63.6,3.9,20.5,Tilia cordata
10.0,7.0,38.5,3.0,4.2,Celtis australis
7.0,4.0,12.6,2.1,5.6,Tilia cordata
8.3,6.7,35.2,2.5,3.5,Celtis australis
9.5,7.0,38.5,2.8,12.3,Aesculus hippocastanum
8.0,10.0,78.5,2.4,10.5,Carpinus betulus
5.0,3.0,7.1,1.5,3.0,Tilia cordata
13.0,10.0,78.5,3.9,17.9,Tilia cordata
8.0,6.0,28.3,2.4,7.9,Platanus x hispanica
18.0,20.0,314.2,5.4,0.7,Platanus x hispanica
7.0,6.0,28.3,2.1,10.1,Platanus x hispanica
4.0,2.5,4.9,1.2,3.0,Tilia cordata
38.0,25.0,490.9,11.4,1.8,Platanus x hispanica
12.0,12.0,113.1,3.6,5.1,Celtis australis
4.0,4.0,12.6,1.2,3.0,Tilia cordata
7.5,4.0,12.6,2.3,8.0,Aesculus hippocastanum
6.0,4.0,12.6,1.8,2.5,Celtis australis
6.0,3.0,7.1,1.8,4.5,Carpinus betulus
6.0,6.0,28.3,1.8,7.9,Platanus x hispanica
6.0,8.0,50.3,1.8,2.8,Celtis australis
5.0,3.0,7.1,1.5,2.1,Celtis australis
4.0,3.0,7.1,1.2,5.0,Carpinus betulus
4.5,1.0,0.8,1.3,1.8,Tilia cordata
9.0,7.0,38.5,2.7,35.6,Aesculus hippocastanum
4.0,2.0,3.1,1.2,7.3,Carpinus betulus
25.0,22.0,380.1,7.5,21.7,Platanus x hispanica
11.0,9.0,63.6,3.3,12.6,Platanus x hispanica
9.0,7.0,38.5,2.7,3.9,Celtis australis
3.0,1.0,0.8,0.9,1.8,Tilia cordata
10.0,10.0,78.5,3.0,3.4,Celtis australis
9.0,8.0,50.3,2.7,0.7,Celtis australis
11.0,10.0,78.5,3.3,4.5,Celtis australis
3.5,2.5,4.9,1.0,5.4,Aesculus hippocastanum
10.0,10.0,78.5,3.0,49.3,Aesculus hippocastanum
4.0,2.0,3.1,1.2,5.0,Carpinus betulus
18.0,18.0,254.5,5.4,8.2,Platanus x hispanica
4.0,3.0,7.1,1.2,9.6,Aesculus hippocastanum
6.0,12.0,113.1,1.8,30.0,Aesculus hippocastanum
6.0,5.0,19.6,1.8,5.1,Tilia cordata
6.5,5.0,19.6,1.9,7.9,Platanus x hispanica
7.0,6.0,28.3,2.1,7.2,Platanus x hispanica
4.0,2.0,3.1,1.2,1.6,Celtis australis
8.0,8.5,56.7,2.4,17.9,Platanus x hispanica
5.0,4.0,12.6,1.5,11.9,Tilia cordata
7.0,5.0,19.6,2.1,17.9,Carpinus betulus
12.0,6.0,28.3,3.6,53.3,Aesculus hippocastanum
15.0,9.0,63.6,4.5,37.0,Tilia cordata
9.5,8.0,50.3,2.8,41.1,Aesculus hippocastanum
10.0,6.0,28.3,3.0,4.8,Celtis australis
5.0,4.0,12.6,1.5,5.6,Tilia cordata
12.0,12.0,113.1,3.6,3.4,Celtis australis
5.0,3.0,7.1,1.5,5.9,Platanus x hispanica
5.0,3.0,7.1,1.5,1.7,Celtis australis
6.0,1.5,1.8,1.8,3.0,Platanus x hispanica
10.0,3.0,7.1,3.0,2.2,Celtis australis
3.0,1.0,0.8,0.9,1.1,Celtis australis
4.0,3.0,7.1,1.2,4.4,Aesculus hippocastanum
12.0,6.0,28.3,3.6,16.8,Carpinus betulus
6.0,4.0,12.6,1.8,2.6,Celtis australis
7.0,6.0,28.3,2.1,8.6,Tilia cordata
6.0,2.5,4.9,1.8,4.1,Platanus x hispanica
7.0,9.0,63.6,2.1,3.4,Celtis australis
5.0,4.0,12.6,1.5,2.0,Celtis australis
5.0,3.5,9.6,1.5,5.6,Carpinus betulus
6.0,5.0,19.6,1.8,3.4,Celtis australis
12.0,12.0,113.1,3.6,59.5,Aesculus hippocastanum
25.0,20.0,314.2,7.5,5.0,Platanus x hispanica
3.5,1.5,1.8,1.0,1.8,Tilia cordata
6.0,7.0,38.5,1.8,2.8,Celtis australis
5.0,2.5,4.9,1.5,1.7,Celtis australis
4.0,2.0,3.1,1.2,1.4,Celtis australis
7.0,5.0,19.6,2.1,10.2,Tilia cordata
22.0,12.0,113.1,6.6,48.2,Platanus x hispanica
8.0,8.0,50.3,2.4,3.5,Celtis australis
6.0,3.0,7.1,1.8,4.5,Aesculus hippocastanum
6.2,3.6,10.1,1.9,8.6,Carpinus betulus
3.0,1.0,0.8,0.9,4.3,Aesculus hippocastanum
5.0,2.0,3.1,1.5,2.2,Tilia cordata
7.0,8.0,50.3,2.1,2.6,Celtis australis
3.0,1.5,1.8,0.9,0.7,Celtis australis
6.0,5.0,19.6,1.8,7.9,Platanus x hispanica
14.0,10.0,78.5,4.2,66.3,Aesculus hippocastanum
6.0,4.0,12.6,1.8,2.5,Celtis australis
4.0,2.0,3.1,1.2,9.2,Carpinus betulus
18.0,7.0,38.5,5.4,34.7,Tilia cordata
5.0,4.0,12.6,1.5,1.7,Celtis australis
10.0,4.0,12.6,3.0,0.8,Carpinus betulus
15.0,9.0,63.6,4.5,30.3,Platanus x hispanica
8.0,10.0,78.5,2.4,3.1,Celtis australis
4.0,1.0,0.8,1.2,1.1,Celtis australis
6.0,4.0,12.6,1.8,9.2,Aesculus hippocastanum
3.0,1.0,0.8,0.9,2.6,Carpinus betulus
6.0,6.0,28.3,1.8,2.5,Celtis australis
4.0,2.0,3.1,1.2,3.8,Tilia cordata
12.0,10.0,78.5,3.6,5.2,Celtis australis
18.0,5.0,19.6,5.4,3.1,Celtis australis
12.0,8.0,50.3,3.6,59.5,Aesculus hippocastanum
6.0,4.0,12.6,1.8,4.2,Tilia cordata
5.0,7.0,38.5,1.5,3.6,Celtis australis
4.0,2.0,3.1,1.2,9.2,Carpinus betulus
9.0,7.0,38.5,2.7,3.4,Celtis australis
4.0,1.5,1.8,1.2,1.5,Celtis australis
23.0,16.0,201.1,6.9,97.2,Platanus x hispanica
11.0,11.0,95.0,3.3,47.1,Aesculus hippocastanum
4.0,5.0,19.6,1.2,2.2,Celtis australis
4.0,3.0,7.1,1.2,9.2,Carpinus betulus
4.0,2.0,3.1,1.2,9.2,Carpinus betulus
4.0,3.0,7.1,1.2,9.2,Carpinus betulus
4.0,1.5,1.8,1.2,2.0,Platanus x hispanica
8.0,8.0,50.3,2.4,12.1,Aesculus hippocastanum
13.0,5.0,19.6,3.9,46.6,Aesculus hippocastanum
6.0,8.0,50.3,1.8,3.4,Celtis australis
6.0,9.0,63.6,1.8,4.7,Celtis australis
10.0,11.0,95.0,3.0,46.9,Aesculus hippocastanum
7.0,7.0,38.5,2.1,2.8,Celtis australis
9.0,5.0,19.6,2.7,16.0,Tilia cordata
13.0,13.0,132.7,3.9,5.2,Celtis australis
8.0,7.0,38.5,2.4,13.6,Tilia cordata
9.0,6.0,28.3,2.7,14.1,Carpinus betulus
9.0,4.0,12.6,2.7,44.4,Aesculus hippocastanum
12.0,11.0,95.0,3.6,4.4,Celtis australis
4.0,3.0,7.1,1.2,9.2,Carpinus betulus
4.0,2.0,3.1,1.2,7.3,Carpinus betulus
8.0,8.0,50.3,2.4,13.0,Tilia cordata
4.0,3.0,7.1,1.2,4.5,Carpinus betulus
8.0,8.0,50.3,2.4,4.3,Celtis australis
10.0,9.0,63.6,3.0,10.1,Platanus x hispanica
15.0,8.0,50.3,4.5,20.1,Aesculus hippocastanum
4.5,5.0,19.6,1.3,2.6,Celtis australis
9.0,12.0,113.1,2.7,2.2,Celtis australis
9.0,7.0,38.5,2.7,3.3,Celtis australis
6.0,4.0,12.6,1.8,2.6,Celtis australis
4.0,1.0,0.8,1.2,2.5,Platanus x hispanica
12.0,7.0,38.5,3.6,10.1,Platanus x hispanica
6.0,3.0,7.1,1.8,9.2,Carpinus betulus
6.4,4.4,14.9,1.9,6.8,Tilia cordata
14.0,11.0,95.0,4.2,59.9,Aesculus hippocastanum
23.0,16.0,201.1,6.9,93.1,Platanus x hispanica
25.0,22.0,380.1,7.5,21.7,Platanus x hispanica
5.0,4.0,12.6,1.5,1.5,Celtis australis
6.0,4.0,12.6,1.8,5.1,Tilia cordata
6.0,5.0,19.6,1.8,16.5,Aesculus hippocastanum
4.0,2.5,4.9,1.2,3.0,Tilia cordata
7.0,6.0,28.3,2.1,2.6,Celtis australis
10.0,4.0,12.6,3.0,50.5,Aesculus hippocastanum
5.0,1.5,1.8,1.5,1.5,Tilia cordata
5.0,4.0,12.6,1.5,2.1,Celtis australis
13.0,10.0,78.5,3.9,4.8,Celtis australis
3.0,2.5,4.9,0.9,4.5,Carpinus betulus
8.3,6.7,35.2,2.5,3.5,Celtis australis
20.0,4.0,12.6,6.0,3.5,Celtis australis
12.0,10.0,78.5,3.6,72.5,Aesculus hippocastanum
21.0,11.0,95.0,6.3,94.3,Platanus x hispanica
7.0,3.0,7.1,2.1,4.6,Platanus x hispanica
4.0,2.0,3.1,1.2,4.4,Aesculus hippocastanum
12.0,8.0,50.3,3.6,72.5,Aesculus hippocastanum
3.0,1.5,1.8,0.9,3.3,Aesculus hippocastanum
10.0,4.0,12.6,3.0,46.9,Aesculus hippocastanum
5.0,7.0,38.5,1.5,3.5,Celtis australis
6.0,6.0,28.3,1.8,13.6,Tilia cordata
27.0,17.0,227.0,8.1,1.8,Platanus x hispanica
12.0,3.0,7.1,3.6,10.5,Carpinus betulus
7.0,11.0,95.0,2.1,3.4,Celtis australis
5.0,1.5,1.8,1.5,3.0,Platanus x hispanica
8.0,7.0,38.5,2.4,7.5,Tilia cordata
7.0,6.0,28.3,2.1,9.3,Aesculus hippocastanum
12.0,10.0,78.5,3.6,47.3,Aesculus hippocastanum
11.0,10.0,78.5,3.3,47.1,Aesculus hippocastanum
16.0,18.0,254.5,4.8,87.4,Platanus x hispanica
4.5,4.0,12.6,1.3,2.3,Celtis australis
10.0,10.0,78.5,3.0,59.0,Aesculus hippocastanum
6.0,8.0,50.3,1.8,3.9,Celtis australis
6.0,4.0,12.6,1.8,16.5,Aesculus hippocastanum
6.0,4.0,12.6,1.8,6.1,Aesculus hippocastanum
7.0,6.0,28.3,2.1,8.6,Tilia cordata
24.0,21.0,346.4,7.2,80.2,Platanus x hispanica
7.0,6.0,28.3,2.1,18.2,Aesculus hippocastanum
4.5,2.5,4.9,1.3,4.0,Carpinus betulus
4.5,5.0,19.6,1.3,2.2,Celtis australis
12.0,10.0,78.5,3.6,72.5,Aesculus hippocastanum
19.0,11.5,103.9,5.7,4.9,Celtis australis
5.0,4.0,12.6,1.5,6.5,Tilia cordata
5.0,3.0,7.1,1.5,3.4,Tilia cordata
6.5,5.0,19.6,1.9,8.6,Platanus x hispanica
7.0,4.0,12.6,2.1,7.3,Carpinus betulus
6.0,6.0,28.3,1.8,3.1,Celtis australis
13.0,7.0,38.5,3.9,14.8,Carpinus betulus
6.0,4.0,12.6,1.8,5.6,Tilia cordata
6.0,6.0,28.3,1.8,5.1,Tilia cordata
15.0,12.0,113.1,4.5,5.1,Celtis australis
4.0,2.0,3.1,1.2,2.2,Tilia cordata
10.5,8.0,50.3,3.2,39.1,Aesculus hippocastanum
7.0,4.0,12.6,2.1,4.2,Tilia cordata
6.0,5.0,19.6,1.8,2.1,Celtis australis
4.5,2.5,4.9,1.3,4.0,Carpinus betulus
6.0,3.0,7.1,1.8,4.1,Platanus x hispanica
8.0,5.0,19.6,2.4,8.7,Aesculus hippocastanum
4.0,3.0,7.1,1.2,2.5,Celtis australis
9.0,8.0,50.3,2.7,35.6,Aesculus hippocastanum
4.0,2.0,3.1,1.2,9.2,Carpinus betulus
5.0,4.0,12.6,1.5,2.6,Celtis australis
17.0,9.0,63.6,5.1,4.7,Celtis australis
6.0,7.0,38.5,1.8,16.5,Aesculus hippocastanum
5.0,3.0,7.1,1.5,1.7,Celtis australis
7.0,4.0,12.6,2.1,8.0,Aesculus hippocastanum
8.0,4.0,12.6,2.4,16.7,Aesculus hippocastanum
15.0,12.0,113.1,4.5,5.2,Celtis australis
9.0,9.0,63.6,2.7,60.1,Aesculus hippocastanum
4.0,2.0,3.1,1.2,3.5,Carpinus betulus
11.0,12.0,113.1,3.3,72.3,Aesculus hippocastanum
9.0,7.0,38.5,2.7,3.4,Celtis australis
7.0,4.0,12.6,2.1,25.3,Aesculus hippocastanum
9.0,7.0,38.5,2.7,3.9,Celtis australis
7.0,6.0,28.3,2.1,8.6,Tilia cordata
6.0,4.0,12.6,1.8,3.8,Tilia cordata
8.0,6.0,28.3,2.4,21.0,Aesculus hippocastanum
4.0,2.5,4.9,1.2,3.0,Tilia cordata
8.0,8.0,50.3,2.4,9.4,Platanus x hispanica
27.0,26.0,530.9,8.1,21.7,Platanus x hispanica
13.0,8.0,50.3,3.9,46.9,Aesculus hippocastanum
22.0,15.0,176.7,6.6,80.2,Platanus x hispanica
4.0,1.5,1.8,1.2,1.8,Tilia cordata
3.0,9.6,72.5,0.9,2.5,Platanus x hispanica
6.0,6.0,28.3,1.8,5.1,Tilia cordata
14.0,12.0,113.1,4.2,5.8,Celtis australis
9.0,12.0,113.1,2.7,3.1,Celtis australis
21.0,8.0,50.3,6.3,48.2,Platanus x hispanica
6.0,4.0,12.6,1.8,7.2,Platanus x hispanica
10.0,10.0,78.5,3.0,37.9,Aesculus hippocastanum
11.0,8.0,50.3,3.3,0.7,Carpinus betulus
8.0,6.0,28.3,2.4,35.5,Aesculus hippocastanum
4.5,1.0,0.8,1.3,1.8,Tilia cordata
5.0,4.0,12.6,1.5,5.6,Carpinus betulus
10.0,10.0,78.5,3.0,3.1,Celtis australis
4.5,5.0,19.6,1.3,2.4,Celtis australis
3.0,9.6,72.5,0.9,2.5,Platanus x hispanica
7.0,8.0,50.3,2.1,3.1,Celtis australis
3.5,2.0,3.1,1.0,3.4,Aesculus hippocastanum
5.0,2.5,4.9,1.5,1.7,Celtis australis
5.0,4.0,12.6,1.5,6.0,Tilia cordata
12.0,9.0,63.6,3.6,3.9,Celtis australis
7.0,6.0,28.3,2.1,5.1,Celtis australis
5.0,4.0,12.6,1.5,2.5,Celtis australis
22.0,20.0,314.2,6.6,68.0,Aesculus hippocastanum
12.0,10.0,78.5,3.6,4.5,Celtis australis
4.0,3.0,7.1,1.2,6.5,Aesculus hippocastanum
6.0,6.0,28.3,1.8,7.2,Platanus x hispanica
12.0,8.0,50.3,3.6,26.1,Aesculus hippocastanum
4.0,2.0,3.1,1.2,5.0,Carpinus betulus
8.0,6.0,28.3,2.4,2.5,Celtis australis
20.0,4.0,12.6,6.0,14.1,Carpinus betulus
15.0,8.0,50.3,4.5,3.5,Celtis australis
3.5,1.5,1.8,1.0,2.5,Aesculus hippocastanum
5.0,3.0,7.1,1.5,4.5,Carpinus betulus
4.5,2.5,4.9,1.3,7.9,Platanus x hispanica
10.0,6.0,28.3,3.0,9.2,Carpinus betulus
7.0,4.5,15.9,2.1,6.8,Aesculus hippocastanum
4.0,2.5,4.9,1.2,3.0,Tilia cordata
5.0,4.0,12.6,1.5,1.8,Celtis australis
9.0,8.0,50.3,2.7,3.4,Celtis australis
8.0,8.0,50.3,2.4,4.7,Carpinus betulus
4.0,2.5,4.9,1.2,3.0,Tilia cordata
6.0,5.0,19.6,1.8,3.3,Celtis australis
9.0,3.0,7.1,2.7,10.4,Carpinus betulus
11.0,12.0,113.1,3.3,44.8,Aesculus hippocastanum
12.0,10.0,78.5,3.6,41.6,Aesculus hippocastanum
4.0,3.0,7.1,1.2,11.2,Carpinus betulus
3.0,3.0,7.1,0.9,2.4,Aesculus hippocastanum
10.0,8.0,50.3,3.0,3.9,Celtis australis
4.0,2.5,4.9,1.2,6.0,Aesculus hippocastanum
12.0,9.0,63.6,3.6,53.3,Aesculus hippocastanum
21.0,7.0,38.5,6.3,33.2,Tilia cordata
10.0,6.5,33.2,3.0,14.1,Carpinus betulus
7.0,4.0,12.6,2.1,7.3,Carpinus betulus
7.0,6.0,28.3,2.1,10.5,Carpinus betulus
4.5,2.5,4.9,1.3,4.0,Carpinus betulus
8.4,6.0,28.3,2.5,3.7,Aesculus hippocastanum
5.0,3.0,7.1,1.5,5.2,Platanus x hispanica
18.0,15.0,176.7,5.4,17.8,Platanus x hispanica
5.0,4.0,12.6,1.5,11.9,Tilia cordata
5.0,4.0,12.6,1.5,2.6,Celtis australis
3.0,9.6,72.5,0.9,2.5,Platanus x hispanica
25.0,18.0,254.5,7.5,14.6,Platanus x hispanica
5.0,4.0,12.6,1.5,5.1,Tilia cordata
15.0,11.0,95.0,4.5,5.1,Celtis australis
11.0,11.0,95.0,3.3,44.8,Aesculus hippocastanum
4.0,1.0,0.8,1.2,1.8,Tilia cordata
3.5,1.5,1.8,1.0,1.3,Celtis australis
8.0,8.0,50.3,2.4,3.5,Celtis australis
15.0,13.0,132.7,4.5,5.0,Celtis australis
3.0,3.0,7.1,0.9,2.1,Celtis australis
3.0,1.0,0.8,0.9,3.0,Carpinus betulus
8.3,6.7,35.2,2.5,3.5,Celtis australis
8.0,12.0,113.1,2.4,29.3,Aesculus hippocastanum
4.0,2.5,4.9,1.2,3.0,Tilia cordata
6.0,4.0,12.6,1.8,5.6,Tilia cordata
12.0,8.0,50.3,3.6,23.8,Platanus x hispanica
8.0,6.0,28.3,2.4,9.4,Aesculus hippocastanum
15.0,12.0,113.1,4.5,45.7,Platanus x hispanica
8.0,4.0,12.6,2.4,6.5,Tilia cordata
4.0,3.0,7.1,1.2,2.5,Celtis australis
24.0,15.0,176.7,7.2,87.4,Platanus x hispanica
13.0,13.0,132.7,3.9,4.6,Celtis australis
10.0,10.0,78.5,3.0,35.8,Aesculus hippocastanum
8.0,5.0,19.6,2.4,2.5,Celtis australis
18.0,6.0,28.3,5.4,33.2,Tilia cordata
8.0,4.0,12.6,2.4,7.3,Carpinus betulus
4.0,2.0,3.1,1.2,9.2,Carpinus betulus
9.0,8.0,50.3,2.7,16.0,Tilia cordata
5.0,8.0,50.3,1.5,5.1,Celtis australis
12.0,6.0,28.3,3.6,36.1,Aesculus hippocastanum
5.0,5.0,19.6,1.5,34.9,Aesculus hippocastanum
25.0,10.0,78.5,7.5,0.7,Platanus x hispanica
8.0,6.0,28.3,2.4,6.7,Carpinus betulus
4.0,2.0,3.1,1.2,7.3,Carpinus betulus
6.0,6.0,28.3,1.8,2.5,Celtis australis
8.3,6.7,35.2,2.5,3.5,Celtis australis
10.0,10.0,78.5,3.0,25.8,Aesculus hippocastanum
15.0,8.0,50.3,4.5,35.5,Tilia cordata
12.0,10.0,78.5,3.6,36.1,Aesculus hippocastanum
8.0,7.0,38.5,2.4,2.5,Celtis australis
5.0,2.5,4.9,1.5,3.4,Tilia cordata
25.0,12.0,113.1,7.5,80.2,Platanus x hispanica
15.0,4.0,12.6,4.5,2.6,Celtis australis
21.0,13.0,132.7,6.3,68.4,Platanus x hispanica
6.0,6.0,28.3,1.8,2.8,Celtis australis
4.0,1.5,1.8,1.2,4.5,Carpinus betulus
6.0,5.0,19.6,1.8,7.9,Platanus x hispanica
4.0,3.0,7.1,1.2,2.5,Celtis australis
5.0,3.0,7.1,1.5,5.6,Carpinus betulus
20.0,12.0,113.1,6.0,82.6,Platanus x hispanica
6.0,6.0,28.3,1.8,13.0,Tilia cordata
10.0,10.0,78.5,3.0,3.9,Celtis australis
7.0,6.0,28.3,2.1,7.5,Tilia cordata
10.0,10.0,78.5,3.0,14.1,Carpinus betulus
6.0,3.0,7.1,1.8,3.5,Platanus x hispanica
6.0,5.0,19.6,1.8,7.9,Platanus x hispanica
9.0,8.0,50.3,2.7,27.5,Aesculus hippocastanum
11.0,7.0,38.5,3.3,59.3,Aesculus hippocastanum
6.0,6.0,28.3,1.8,7.2,Platanus x hispanica
7.0,5.0,19.6,2.1,16.0,Tilia cordata
5.0,3.0,7.1,1.5,2.1,Celtis australis
8.3,6.7,35.2,2.5,3.5,Celtis australis
5.0,4.0,12.6,1.5,6.0,Tilia cordata
4.0,2.5,4.9,1.2,3.0,Tilia cordata
5.0,2.5,4.9,1.5,3.4,Tilia cordata
6.0,4.0,12.6,1.8,2.5,Celtis australis
13.0,11.0,95.0,3.9,4.2,Celtis australis
6.0,4.0,12.6,1.8,2.8,Celtis australis
11.0,10.0,78.5,3.3,4.2,Celtis australis
9.0,8.0,50.3,2.7,3.4,Celtis australis
12.0,3.0,7.1,3.6,10.5,Carpinus betulus
9.0,8.0,50.3,2.7,27.0,Platanus x hispanica
13.0,6.0,28.3,3.9,7.3,Carpinus betulus
6.0,2.5,4.9,1.8,4.1,Platanus x hispanica
12.5,11.0,95.0,3.8,4.3,Celtis australis
4.0,4.0,12.6,1.2,9.2,Carpinus betulus
9.0,7.0,38.5,2.7,4.2,Celtis australis
9.0,6.0,28.3,2.7,18.5,Aesculus hippocastanum
8.3,6.7,35.2,2.5,3.5,Celtis australis
10.0,6.0,28.3,3.0,9.2,Carpinus betulus
8.0,5.0,19.6,2.4,10.5,Carpinus betulus
8.0,8.0,50.3,2.4,46.5,Aesculus hippocastanum
5.0,3.0,7.1,1.5,5.2,Platanus x hispanica
6.0,6.0,28.3,1.8,6.5,Tilia cordata
8.4,6.0,28.3,2.5,21.0,Aesculus hippocastanum
5.0,5.0,19.6,1.5,2.4,Celtis australis
14.0,11.0,95.0,4.2,4.9,Celtis australis
13.0,10.0,78.5,3.9,23.8,Platanus x hispanica
22.0,13.0,132.7,6.6,42.0,Platanus x hispanica
13.0,12.0,113.1,3.9,5.1,Celtis australis
12.0,14.0,153.9,3.6,68.4,Platanus x hispanica
15.0,4.0,12.6,4.5,16.2,Carpinus betulus
6.0,5.0,19.6,1.8,7.0,Tilia cordata
7.0,6.0,28.3,2.1,9.4,Platanus x hispanica
4.0,2.0,3.1,1.2,9.2,Carpinus betulus
23.0,19.0,283.5,6.9,0.7,Platanus x hispanica
4.0,3.0,7.1,1.2,9.2,Carpinus betulus
9.0,9.0,63.6,2.7,31.4,Platanus x hispanica
