Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Name
4.0,2.5,4.9,1.2,Crataegus x lavallei
4.0,2.3,4.0,1.2,Crataegus x lavallei
4.0,2.3,4.0,1.2,Crataegus x lavallei
4.0,2.3,4.0,1.2,Crataegus x lavallei
4.0,2.3,4.0,1.2,Crataegus x lavallei
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
9.0,1.5,1.8,2.7,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
8.0,2.0,3.1,2.4,Cupressus sempervirens
11.0,11.0,95.0,3.3,Fraxinus ornus
7.7,5.3,22.3,2.3,Diospyros kaki
5.0,2.5,4.9,1.5,Eriobotrya japonica
6.9,4.4,15.4,2.1,Fagus sylvatica
6.9,4.4,15.4,2.1,Fagus sylvatica
11.0,8.0,50.3,3.3,Celtis australis
4.4,4.6,16.4,1.3,Ficus carica
4.4,4.6,16.4,1.3,Ficus carica
13.0,12.0,113.1,3.9,Fraxinus excelsior
4.0,2.0,3.1,1.2,Fraxinus excelsior
9.0,6.0,28.3,2.7,Fraxinus excelsior
10.0,7.0,38.5,3.0,Fraxinus excelsior
9.0,6.0,28.3,2.7,Fraxinus excelsior
12.0,5.0,19.6,3.6,Fraxinus excelsior
9.0,8.0,50.3,2.7,Fraxinus excelsior
4.0,10.0,78.5,1.2,Fraxinus excelsior
6.0,6.0,28.3,1.8,Fraxinus excelsior
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
10.0,8.0,50.3,3.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.5,6.0,28.3,1.9,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.7,4.9,19.2,2.0,Fraxinus ornus
6.0,4.0,12.6,1.8,Fraxinus
8.0,6.0,28.3,2.4,Fraxinus angustifolia
8.0,6.0,28.3,2.4,Fraxinus angustifolia
8.0,6.0,28.3,2.4,Fraxinus angustifolia
7.0,5.0,19.6,2.1,Fraxinus angustifolia
10.0,10.0,78.5,3.0,Fraxinus angustifolia
10.0,10.0,78.5,3.0,Fraxinus angustifolia
8.0,7.0,38.5,2.4,Fraxinus angustifolia
4.0,2.0,3.1,1.2,Fraxinus excelsior
4.0,2.0,3.1,1.2,Fraxinus excelsior
4.0,3.0,7.1,1.2,Fraxinus excelsior
5.0,3.0,7.1,1.5,Fraxinus excelsior
4.0,2.0,3.1,1.2,Fraxinus excelsior
4.0,2.0,3.1,1.2,Fraxinus excelsior
6.0,4.0,12.6,1.8,Corylus colurna
5.1,3.3,8.4,1.5,Fraxinus angustifolia
4.0,3.0,7.1,1.2,Corylus colurna
5.1,3.3,8.4,1.5,Fraxinus angustifolia
5.1,3.3,8.4,1.5,Fraxinus angustifolia
3.5,2.0,3.1,1.0,Fraxinus angustifolia
5.1,3.3,8.4,1.5,Fraxinus angustifolia
4.0,1.5,1.8,1.2,Fraxinus angustifolia
6.0,3.0,7.1,1.8,Fraxinus angustifolia
6.0,4.0,12.6,1.8,Fraxinus angustifolia
6.0,2.5,4.9,1.8,Fraxinus angustifolia
5.0,3.0,7.1,1.5,Fraxinus excelsior
4.0,2.0,3.1,1.2,Fraxinus excelsior
4.0,2.0,3.1,1.2,Fraxinus excelsior
4.0,2.0,3.1,1.2,Fraxinus excelsior
4.0,2.0,3.1,1.2,Fraxinus excelsior
5.0,2.0,3.1,1.5,Fraxinus excelsior
5.0,2.0,3.1,1.5,Fraxinus excelsior
10.0,8.0,50.3,3.0,Fraxinus excelsior
10.4,6.0,28.2,3.1,Ginkgo biloba
10.4,6.0,28.2,3.1,Ginkgo biloba
10.4,6.0,28.2,3.1,Ginkgo biloba
10.4,6.0,28.2,3.1,Ginkgo biloba
10.4,6.0,28.2,3.1,Ginkgo biloba
10.4,6.0,28.2,3.1,Ginkgo biloba
10.4,6.0,28.2,3.1,Ginkgo biloba
18.0,11.0,95.0,5.4,Ginkgo biloba
12.0,4.0,12.6,3.6,Ginkgo biloba
10.4,6.0,28.2,3.1,Ginkgo biloba
19.0,7.0,38.5,5.7,Ginkgo biloba
15.0,9.0,63.6,4.5,Ginkgo biloba
7.0,9.0,63.6,2.1,Ginkgo biloba
12.0,10.0,78.5,3.6,Ginkgo biloba
12.0,10.0,78.5,3.6,Ginkgo biloba
9.0,5.0,19.6,2.7,Ginkgo biloba
10.0,4.0,12.6,3.0,Ginkgo biloba
10.4,6.0,28.2,3.1,Ginkgo biloba
10.4,6.0,28.2,3.1,Ginkgo biloba
15.0,6.0,28.3,4.5,Ginkgo biloba
11.0,9.0,63.6,3.3,Ginkgo biloba
18.0,9.0,63.6,5.4,Ginkgo biloba
9.0,10.0,78.5,2.7,Ginkgo biloba
10.4,6.0,28.2,3.1,Ginkgo biloba
10.4,6.0,28.2,3.1,Ginkgo biloba
4.0,4.0,12.6,1.2,Gleditsia triacanthos
4.5,4.0,12.6,1.3,Gleditsia triacanthos
4.5,6.0,28.3,1.3,Gleditsia triacanthos
4.5,5.0,19.6,1.3,Gleditsia triacanthos
4.0,4.0,12.6,1.2,Gleditsia triacanthos
4.0,4.0,12.6,1.2,Gleditsia triacanthos
4.5,4.0,12.6,1.3,Gleditsia triacanthos
4.5,4.5,15.9,1.3,Gleditsia triacanthos
4.0,4.0,12.6,1.2,Gleditsia triacanthos
4.5,4.0,12.6,1.3,Gleditsia triacanthos
13.0,12.0,113.1,3.9,Gleditsia triacanthos
4.5,2.5,4.9,1.3,Gleditsia triacanthos
4.5,5.0,19.6,1.3,Gleditsia triacanthos
4.5,4.0,12.6,1.3,Gleditsia triacanthos
6.5,3.0,7.1,1.9,Gleditsia triacanthos
4.5,3.5,9.6,1.3,Gleditsia triacanthos
4.5,4.0,12.6,1.3,Gleditsia triacanthos
4.0,2.5,4.9,1.2,Gleditsia triacanthos
5.0,4.5,15.9,1.5,Gleditsia triacanthos
5.0,4.5,15.9,1.5,Gleditsia triacanthos
12.0,10.0,78.5,3.6,Gleditsia triacanthos
5.5,4.0,12.6,1.7,Gleditsia triacanthos
4.0,2.5,4.9,1.2,Gleditsia triacanthos
8.0,10.0,78.5,2.4,Gleditsia triacanthos
3.5,3.0,7.1,1.0,Gleditsia triacanthos
3.5,2.5,4.9,1.0,Gleditsia triacanthos
4.0,5.0,19.6,1.2,Gleditsia triacanthos
12.0,10.0,78.5,3.6,Gleditsia triacanthos
12.0,10.0,78.5,3.6,Gleditsia triacanthos
4.0,3.0,7.1,1.2,Gleditsia triacanthos
12.0,8.0,50.3,3.6,Gleditsia triacanthos
13.0,10.0,78.5,3.9,Gleditsia triacanthos
4.8,2.4,4.6,1.4,Ilex
13.0,6.0,28.3,3.9,Ilex
7.0,10.0,78.5,2.1,Ilex
12.0,6.0,28.3,3.6,Ilex
7.0,7.0,38.5,2.1,Ilex
14.0,6.5,33.2,4.2,Ilex
17.2,8.4,55.4,5.2,Juglans regia
10.0,9.0,63.6,3.0,Koelreuteria paniculata
6.9,6.5,33.6,2.1,Koelreuteria paniculata
10.0,11.0,95.0,3.0,Koelreuteria paniculata
8.0,5.3,21.7,2.4,Laburnum anagyroides
2.8,1.0,0.7,0.8,Lagerstroemia indica
8.0,5.0,19.6,2.4,Larix decidua
11.0,8.0,50.3,3.3,Larix decidua
10.0,6.0,28.3,3.0,Larix decidua
5.0,5.7,25.2,1.5,Laurus nobilis
7.0,5.0,19.8,2.1,Ligustrum lucidum
7.0,5.0,19.8,2.1,Ligustrum lucidum
7.0,5.0,19.8,2.1,Ligustrum lucidum
9.0,6.0,28.3,2.7,Ligustrum lucidum
10.0,10.0,78.5,3.0,Ligustrum lucidum
11.0,8.0,50.3,3.3,Ligustrum lucidum
6.5,7.0,38.5,1.9,Liquidambar styraciflua
6.3,4.1,13.2,1.9,Liquidambar styraciflua
6.3,4.1,13.2,1.9,Liquidambar styraciflua
6.3,4.1,13.2,1.9,Liquidambar styraciflua
11.0,10.0,78.5,3.3,Liquidambar styraciflua
10.0,10.0,78.5,3.0,Liquidambar styraciflua
12.0,11.0,95.0,3.6,Liquidambar styraciflua
7.0,4.0,12.6,2.1,Liriodendron tulipifera
5.7,3.3,8.6,1.7,Liriodendron tulipifera
5.7,3.3,8.6,1.7,Liriodendron tulipifera
5.7,3.3,8.6,1.7,Liriodendron tulipifera
5.7,3.3,8.6,1.7,Liriodendron tulipifera
13.0,12.0,113.1,3.9,Liriodendron tulipifera
5.7,3.3,8.6,1.7,Liriodendron tulipifera
12.0,5.0,19.6,3.6,Liriodendron tulipifera
12.0,5.0,19.6,3.6,Liriodendron tulipifera
5.0,3.0,7.1,1.5,Liriodendron tulipifera
8.0,6.0,28.3,2.4,Liriodendron tulipifera
5.0,2.0,3.1,1.5,Liriodendron tulipifera
10.0,8.0,50.3,3.0,Liriodendron tulipifera
6.0,4.0,12.6,1.8,Liriodendron tulipifera
5.0,3.0,7.1,1.5,Liriodendron tulipifera
10.0,12.0,113.1,3.0,Liriodendron tulipifera
4.7,2.7,5.6,1.4,Magnolia grandiflora
4.7,3.1,7.7,1.4,Magnolia
4.7,3.1,7.7,1.4,Magnolia
4.7,3.1,7.7,1.4,Magnolia
10.0,9.0,63.6,3.0,Pinus coulteri
4.0,4.0,12.6,1.2,Malus
4.0,4.0,12.6,1.2,Malus
11.0,18.0,254.5,3.3,Morus alba
5.0,5.0,19.6,1.5,Morus nigra
4.5,6.0,28.4,1.4,Morus nigra
5.0,8.0,50.3,1.5,Morus nigra
5.0,8.0,50.3,1.5,Morus nigra
4.5,6.0,28.4,1.4,Morus nigra
4.5,6.0,28.4,1.4,Morus nigra
5.0,6.0,28.3,1.5,Morus nigra
5.0,6.0,28.3,1.5,Morus nigra
5.0,10.0,78.5,1.5,Morus nigra
5.0,10.0,78.5,1.5,Morus nigra
4.5,6.0,28.4,1.4,Morus nigra
6.0,10.0,78.5,1.8,Morus nigra
4.5,6.0,28.4,1.4,Morus nigra
5.0,12.0,113.1,1.5,Morus nigra
5.0,10.0,78.5,1.5,Morus nigra
5.0,6.0,28.3,1.5,Morus nigra
5.0,12.0,113.1,1.5,Morus nigra
6.0,10.0,78.5,1.8,Morus nigra
4.5,6.0,28.4,1.4,Morus nigra
5.0,10.0,78.5,1.5,Morus nigra
5.0,12.0,113.1,1.5,Morus nigra
5.0,8.0,50.3,1.5,Morus nigra
5.0,12.0,113.1,1.5,Morus nigra
5.0,8.0,50.3,1.5,Morus nigra
5.0,10.0,78.5,1.5,Morus nigra
5.0,10.0,78.5,1.5,Morus nigra
6.0,13.0,132.7,1.8,Morus nigra
5.0,8.0,50.3,1.5,Morus nigra
5.0,5.0,19.6,1.5,Morus nigra
5.0,8.0,50.3,1.5,Morus nigra
6.0,12.0,113.1,1.8,Morus nigra
4.5,6.0,28.4,1.4,Morus nigra
4.5,6.0,28.4,1.4,Morus nigra
4.0,5.0,19.6,1.2,Morus nigra
5.0,8.0,50.3,1.5,Morus nigra
5.0,10.0,78.5,1.5,Morus nigra
4.5,6.0,28.4,1.4,Morus nigra
5.0,8.0,50.3,1.5,Morus nigra
5.0,10.0,78.5,1.5,Morus nigra
5.0,10.0,78.5,1.5,Morus nigra
7.0,6.0,28.3,2.1,Morus
7.0,6.0,28.3,2.1,Morus
4.9,5.9,27.5,1.5,Morus
4.0,4.5,15.9,1.2,Olea europaea
4.0,4.5,15.9,1.2,Olea europaea
4.0,4.5,15.9,1.2,Olea europaea
4.0,4.5,15.9,1.2,Olea europaea
4.0,4.5,15.9,1.2,Olea europaea
4.0,4.5,15.9,1.2,Olea europaea
4.0,4.5,15.9,1.2,Olea europaea
4.0,4.5,15.9,1.2,Olea europaea
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
12.0,8.0,50.3,3.6,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
12.0,18.0,254.5,3.6,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
12.0,8.0,50.3,3.6,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
7.0,3.8,11.1,2.1,Ostrya carpinifolia
9.7,8.0,50.3,2.9,Paulownia tomentosa
9.7,8.0,50.3,2.9,Paulownia tomentosa
9.7,8.0,50.3,2.9,Paulownia tomentosa
9.7,8.0,50.3,2.9,Paulownia tomentosa
9.7,8.0,50.3,2.9,Paulownia tomentosa
9.7,8.0,50.3,2.9,Paulownia tomentosa
9.7,8.0,50.3,2.9,Paulownia tomentosa
9.7,8.0,50.3,2.9,Paulownia tomentosa
11.0,6.0,28.3,3.3,Paulownia tomentosa
12.0,6.0,28.3,3.6,Paulownia tomentosa
11.9,5.3,22.0,3.6,Picea abies
11.0,8.0,50.3,3.3,Picea abies
11.9,5.3,22.0,3.6,Picea abies
11.9,5.3,22.0,3.6,Picea abies
11.9,5.3,22.0,3.6,Picea abies
6.0,5.0,19.6,1.8,Picea abies
11.9,5.3,22.0,3.6,Picea abies
11.9,5.3,22.0,3.6,Picea abies
11.9,5.3,22.0,3.6,Picea abies
12.0,9.0,63.6,3.6,Picea abies
11.9,5.3,22.0,3.6,Picea abies
11.9,5.3,22.0,3.6,Picea abies
11.9,5.3,22.0,3.6,Picea abies
11.9,5.3,22.0,3.6,Picea abies
11.9,5.3,22.0,3.6,Picea abies
11.9,5.3,22.0,3.6,Picea abies
11.9,5.3,22.0,3.6,Picea abies
11.9,5.3,22.0,3.6,Picea abies
11.9,5.3,22.0,3.6,Picea abies
11.9,5.3,22.0,3.6,Picea abies
11.9,5.3,22.0,3.6,Picea abies
11.9,5.3,22.0,3.6,Picea abies
11.9,5.3,22.0,3.6,Picea abies
12.0,5.0,19.6,3.6,Picea pungens
12.0,8.0,50.3,3.6,Picea
6.0,3.0,7.1,1.8,Picea obovata
6.0,4.0,12.6,1.8,Picea obovata
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
7.0,3.0,7.1,2.1,Pinus nigra
10.0,5.0,19.6,3.0,Pinus nigra
14.0,8.0,50.3,4.2,Pinus nigra
13.0,6.0,28.3,3.9,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
12.0,6.0,28.3,3.6,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
12.0,6.0,28.3,3.6,Pinus nigra
12.0,6.0,28.3,3.6,Pinus nigra
12.0,6.0,28.3,3.6,Pinus nigra
12.0,6.0,28.3,3.6,Pinus nigra
12.0,6.0,28.3,3.6,Pinus nigra
12.0,6.0,28.3,3.6,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
15.0,6.0,28.3,4.5,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
17.0,8.0,50.3,5.1,Pinus nigra
10.7,5.3,22.1,3.2,Pinus nigra
13.4,6.7,35.5,4.0,Pinus strobus
13.4,6.7,35.5,4.0,Pinus strobus
7.7,4.1,13.3,2.3,Pinus sylvestris
7.7,4.1,13.3,2.3,Pinus sylvestris
7.7,4.1,13.3,2.3,Pinus sylvestris
12.0,8.0,50.3,3.6,Pinus sylvestris
7.7,4.1,13.3,2.3,Pinus sylvestris
19.5,7.7,46.2,5.9,Pinus wallichiana
19.5,7.7,46.2,5.9,Pinus wallichiana
19.5,7.7,46.2,5.9,Pinus wallichiana
19.5,7.7,46.2,5.9,Pinus wallichiana
26.0,8.0,50.3,7.8,Pinus wallichiana
19.0,5.0,19.6,5.7,Pinus bungeana
5.5,4.0,12.6,1.7,Platanus x acerifolia 'Bloodgood'
22.0,20.0,314.2,6.6,Platanus x acerifolia 'Bloodgood'
25.0,16.0,201.1,7.5,Platanus x acerifolia 'Bloodgood'
16.0,11.0,95.0,4.8,Platanus x acerifolia 'Bloodgood'
16.0,11.0,95.0,4.8,Platanus x acerifolia 'Bloodgood'
12.0,8.0,50.3,3.6,Platanus x acerifolia 'Bloodgood'
10.8,7.0,38.4,3.2,Platanus x acerifolia 'Bloodgood'
12.0,7.0,38.5,3.6,Platanus x acerifolia 'Bloodgood'
12.0,10.0,78.5,3.6,Platanus x acerifolia 'Bloodgood'
10.0,6.0,28.3,3.0,Platanus x acerifolia 'Bloodgood'
14.0,6.0,28.3,4.2,Platanus x acerifolia 'Bloodgood'
14.0,8.0,50.3,4.2,Platanus x acerifolia 'Bloodgood'
7.0,6.0,28.3,2.1,Platanus x acerifolia 'Bloodgood'
7.0,6.0,28.3,2.1,Platanus x acerifolia 'Bloodgood'
7.0,6.0,28.3,2.1,Platanus x acerifolia 'Bloodgood'
7.0,6.0,28.3,2.1,Platanus x acerifolia 'Bloodgood'
5.0,3.0,7.1,1.5,Platanus x acerifolia 'Bloodgood'
7.0,5.0,19.6,2.1,Platanus x acerifolia 'Bloodgood'
