Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Name
6.0,4.0,12.6,1.8,Ostrya carpinifolia
10.0,5.0,19.6,3.0,Ostrya carpinifolia
6.0,6.0,28.3,1.8,Celtis australis
6.0,6.0,28.3,1.8,Celtis australis
15.0,12.0,113.1,4.5,Robinia pseudoacacia
9.0,6.0,28.3,2.7,Ostrya carpinifolia
6.0,4.0,12.6,1.8,Ostrya carpinifolia
16.0,8.0,50.3,4.8,Robinia pseudoacacia
6.0,6.0,28.3,1.8,Celtis australis
5.5,5.0,19.6,1.7,Celtis australis
6.5,6.0,28.3,1.9,Celtis australis
8.0,4.0,12.6,2.4,Betula pendula
13.0,7.0,38.5,3.9,Betula pendula
9.0,5.0,19.6,2.7,Betula pendula
14.0,10.0,78.5,4.2,Robinia pseudoacacia
14.0,12.0,113.1,4.2,Robinia pseudoacacia
4.5,5.0,19.6,1.3,Celtis australis
5.0,5.0,19.6,1.5,Celtis australis
4.5,5.0,19.6,1.3,Celtis australis
4.5,5.0,19.6,1.3,Celtis australis
1.0,1.0,0.8,0.3,Sorbus
15.0,9.0,63.6,4.5,Robinia pseudoacacia
12.0,5.0,19.6,3.6,Acer platanoides
5.0,3.0,7.1,1.5,Acer platanoides
12.0,10.0,78.5,3.6,Acer platanoides
12.0,8.0,50.3,3.6,Picea abies
12.0,8.0,50.3,3.6,Acer platanoides
12.0,12.0,113.1,3.6,Quercus robur
13.0,8.0,50.3,3.9,Pinus nigra
6.0,4.0,12.6,1.8,Pyrus calleryana
5.0,3.0,7.1,1.5,Pyrus calleryana
5.0,3.0,7.1,1.5,Pyrus calleryana
5.0,3.0,7.1,1.5,Pyrus calleryana
7.0,4.0,12.6,2.1,Liriodendron tulipifera
7.0,4.0,12.6,2.1,Liriodendron tulipifera
7.0,4.0,12.6,2.1,Liriodendron tulipifera
7.0,4.0,12.6,2.1,Liriodendron tulipifera
7.0,4.0,12.6,2.1,Liriodendron tulipifera
11.0,8.0,50.3,3.3,Acer campestre
5.0,3.0,7.1,1.5,Liriodendron tulipifera
15.0,9.0,63.6,4.5,Pinus nigra
12.0,4.0,12.6,3.6,Liriodendron tulipifera
8.0,6.0,28.3,2.4,Acer
12.0,8.0,50.3,3.6,Juglans
14.0,10.0,78.5,4.2,Acacia
3.0,3.0,7.1,0.9,Crataegus
3.0,3.0,7.1,0.9,Crataegus
3.0,3.0,7.1,0.9,Crataegus
3.0,3.0,7.1,0.9,Crataegus
3.5,3.0,7.1,1.0,Crataegus
3.5,3.0,7.1,1.0,Crataegus
3.0,2.0,3.1,0.9,Crataegus
3.0,2.0,3.1,0.9,Crataegus
3.0,1.5,1.8,0.9,Crataegus
3.0,1.5,1.8,0.9,Crataegus
3.0,2.0,3.1,0.9,Crataegus
3.0,1.5,1.8,0.9,Crataegus
3.0,1.5,1.8,0.9,Crataegus
3.0,1.5,1.8,0.9,Crataegus
3.0,1.5,1.8,0.9,Crataegus
3.0,1.5,1.8,0.9,Crataegus
3.0,1.5,1.8,0.9,Crataegus
5.0,5.0,19.6,1.5,Koelreuteria paniculata
4.0,4.0,12.6,1.2,Koelreuteria paniculata
4.0,4.0,12.6,1.2,Celtis australis
4.0,4.0,12.6,1.2,Celtis australis
4.0,4.0,12.6,1.2,Celtis australis
4.0,4.0,12.6,1.2,Celtis australis
4.0,4.0,12.6,1.2,Celtis australis
4.0,4.0,12.6,1.2,Celtis australis
15.0,12.0,113.1,4.5,Pinus
8.0,6.0,28.3,2.4,Tilia cordata
8.0,6.0,28.3,2.4,Tilia cordata
10.0,8.0,50.3,3.0,Tilia cordata
