Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Gross Carbon Sequestration (kg/yr)
Aesculus hippocastanum,10.0,10.0,78.5,3.0,9.7
Aesculus hippocastanum,8.0,8.0,50.3,2.4,6.0
Aesculus hippocastanum,10.0,14.0,153.9,3.0,17.6
Aesculus hippocastanum,18.0,12.0,113.1,5.4,10.1
Aesculus hippocastanum,11.0,10.0,78.5,3.3,17.7
Aesculus hippocastanum,11.0,10.0,78.5,3.3,17.7
Aesculus hippocastanum,21.0,15.0,176.7,6.3,22.0
Aesculus hippocastanum,8.0,7.0,38.5,2.4,15.7
Aesculus hippocastanum,8.0,7.0,38.5,2.4,6.3
Aesculus hippocastanum,8.0,7.0,38.5,2.4,6.3
Aesculus hippocastanum,3.5,1.5,1.8,1.0,0.9
Aesculus hippocastanum,5.0,4.0,12.6,1.5,3.2
Aesculus hippocastanum,3.5,1.5,1.8,1.0,0.9
Aesculus hippocastanum,9.0,4.0,12.6,2.7,17.5
Aesculus hippocastanum,5.0,3.0,7.1,1.5,2.3
Aesculus hippocastanum,11.0,7.0,38.5,3.3,22.2
Aesculus hippocastanum,6.0,3.0,7.1,1.8,3.0
Aesculus hippocastanum,3.0,2.0,3.1,0.9,0.9
Aesculus hippocastanum,3.0,2.0,3.1,0.9,0.9
Aesculus hippocastanum,2.0,1.0,0.8,0.6,0.6
Aesculus hippocastanum,10.0,6.0,28.3,3.0,17.6
Aesculus hippocastanum,8.0,9.0,63.6,2.4,17.5
Aesculus hippocastanum,11.0,10.0,78.5,3.3,16.8
Aesculus hippocastanum,3.0,6.4,32.7,0.9,0.9
Aesculus hippocastanum,7.0,4.0,12.6,2.1,13.6
Aesculus hippocastanum,8.0,6.0,28.3,2.4,13.3
Aesculus hippocastanum,6.0,6.0,28.3,1.8,11.2
Aesculus hippocastanum,6.0,6.0,28.3,1.8,16.4
Aesculus hippocastanum,9.0,8.0,50.3,2.7,18.4
Aesculus hippocastanum,9.0,8.0,50.3,2.7,18.4
Aesculus hippocastanum,9.0,8.0,50.3,2.7,18.4
Aesculus hippocastanum,9.0,6.0,28.3,2.7,16.2
Aesculus hippocastanum,9.0,5.0,19.6,2.7,12.6
Aesculus hippocastanum,9.0,5.0,19.6,2.7,12.6
Aesculus hippocastanum,9.0,5.0,19.6,2.7,12.6
Aesculus hippocastanum,6.0,6.0,28.3,1.8,14.8
Aesculus hippocastanum,8.0,8.0,50.3,2.4,15.3
Aesculus hippocastanum,14.0,16.0,201.1,4.2,24.9
Aesculus hippocastanum,9.0,8.0,50.3,2.7,9.6
Aesculus hippocastanum,9.0,8.0,50.3,2.7,9.6
Aesculus hippocastanum,9.0,8.0,50.3,2.7,13.4
Aesculus hippocastanum,6.0,12.0,113.1,1.8,11.2
Aesculus hippocastanum,6.0,12.0,113.1,1.8,7.1
Aesculus hippocastanum,9.0,4.0,12.6,2.7,16.7
Aesculus hippocastanum,9.0,9.0,63.6,2.7,18.0
Aesculus hippocastanum,12.0,8.0,50.3,3.6,10.1
Aesculus hippocastanum,12.0,6.0,28.3,3.6,7.7
Aesculus hippocastanum,12.0,8.0,50.3,3.6,11.2
Aesculus hippocastanum,12.0,5.0,19.6,3.6,14.8
Aesculus hippocastanum,9.0,3.0,7.1,2.7,12.2
Aesculus hippocastanum,9.0,4.0,12.6,2.7,15.0
Aesculus hippocastanum,8.0,5.0,19.6,2.4,17.5
Aesculus hippocastanum,8.0,5.0,19.6,2.4,19.7
Aesculus hippocastanum,12.0,9.0,63.6,3.6,27.2
Aesculus hippocastanum,10.0,4.0,12.6,3.0,10.8
Aesculus hippocastanum,10.0,4.0,12.6,3.0,12.6
Aesculus hippocastanum,10.0,4.0,12.6,3.0,10.0
Aesculus hippocastanum,10.0,4.0,12.6,3.0,18.9
Aesculus hippocastanum,10.0,6.0,28.3,3.0,18.9
Aesculus hippocastanum,10.0,7.0,38.5,3.0,22.1
Aesculus hippocastanum,10.0,7.0,38.5,3.0,20.3
Aesculus hippocastanum,10.0,7.0,38.5,3.0,20.3
Aesculus hippocastanum,10.0,7.0,38.5,3.0,16.7
Aesculus hippocastanum,7.0,4.0,12.6,2.1,9.9
Aesculus hippocastanum,6.0,12.0,113.1,1.8,11.2
Aesculus hippocastanum,11.0,12.0,113.1,3.3,16.8
Aesculus hippocastanum,11.0,12.0,113.1,3.3,16.8
Aesculus hippocastanum,5.0,5.0,19.6,1.5,4.7
Aesculus hippocastanum,9.0,8.0,50.3,2.7,13.4
Aesculus hippocastanum,9.0,8.0,50.3,2.7,13.4
Aesculus hippocastanum,10.0,10.0,78.5,3.0,9.0
Aesculus hippocastanum,10.0,10.0,78.5,3.0,17.6
Aesculus hippocastanum,10.0,10.0,78.5,3.0,17.6
Aesculus hippocastanum,6.0,7.0,38.5,1.8,6.8
Aesculus hippocastanum,6.0,7.0,38.5,1.8,6.2
Aesculus hippocastanum,14.0,8.0,50.3,4.2,13.3
Aesculus hippocastanum,9.0,7.0,38.5,2.7,10.0
Aesculus hippocastanum,8.0,6.0,28.3,2.4,11.0
Aesculus hippocastanum,6.0,5.0,19.6,1.8,18.6
Aesculus hippocastanum,12.0,8.0,50.3,3.6,20.8
Aesculus hippocastanum,5.0,5.0,19.6,1.5,13.1
Aesculus hippocastanum,5.0,5.0,19.6,1.5,13.1
Aesculus hippocastanum,7.0,6.0,28.3,2.1,9.9
Aesculus hippocastanum,9.0,8.0,50.3,2.7,12.6
Aesculus hippocastanum,15.0,5.0,19.6,4.5,12.9
Aesculus hippocastanum,7.0,6.0,28.3,2.1,10.2
Aesculus hippocastanum,8.0,8.0,50.3,2.4,17.5
Aesculus hippocastanum,15.0,12.0,113.1,4.5,17.2
Aesculus hippocastanum,7.0,3.0,7.1,2.1,5.6
Aesculus hippocastanum,9.0,9.0,63.6,2.7,22.5
Aesculus hippocastanum,7.0,6.0,28.3,2.1,6.2
Aesculus hippocastanum,4.0,5.0,19.6,1.2,2.2
Aesculus hippocastanum,5.0,5.0,19.6,1.5,13.1
Aesculus hippocastanum,6.0,5.0,19.6,1.8,9.8
Aesculus hippocastanum,12.0,6.0,28.3,3.6,21.4
Aesculus hippocastanum,3.0,1.0,0.8,0.9,1.6
Aesculus hippocastanum,6.0,6.0,28.3,1.8,6.2
Aesculus hippocastanum,3.0,3.0,7.1,0.9,2.0
Aesculus hippocastanum,4.0,3.0,7.1,1.2,3.6
Aesculus hippocastanum,3.0,1.0,0.8,0.9,2.2
Aesculus hippocastanum,8.0,12.0,113.1,2.4,17.7
Aesculus hippocastanum,7.0,10.0,78.5,2.1,13.2
Aesculus hippocastanum,15.0,9.0,63.6,4.5,21.6
Aesculus hippocastanum,10.0,6.0,28.3,3.0,7.6
Aesculus hippocastanum,10.0,6.0,28.3,3.0,7.0
Aesculus hippocastanum,13.0,9.0,63.6,3.9,22.4
Aesculus hippocastanum,15.0,12.0,113.1,4.5,18.9
Aesculus hippocastanum,14.0,12.0,113.1,4.2,29.9
Aesculus hippocastanum,16.0,8.0,50.3,4.8,27.5
Aesculus hippocastanum,15.0,8.0,50.3,4.5,27.4
Aesculus hippocastanum,3.0,3.0,7.1,0.9,2.0
Aesculus hippocastanum,15.0,8.0,50.3,4.5,27.4
Aesculus hippocastanum,3.0,1.0,0.8,0.9,1.6
Aesculus hippocastanum,3.0,1.0,0.8,0.9,1.6
Aesculus hippocastanum,9.0,7.0,38.5,2.7,13.4
Aesculus hippocastanum,9.0,7.0,38.5,2.7,15.4
Aesculus hippocastanum,3.0,1.0,0.8,0.9,0.5
Aesculus hippocastanum,3.0,1.0,0.8,0.9,0.5
Aesculus hippocastanum,3.0,1.0,0.8,0.9,0.5
Aesculus hippocastanum,3.0,1.0,0.8,0.9,0.5
Aesculus hippocastanum,17.0,12.0,113.1,5.1,17.4
Aesculus hippocastanum,10.0,7.0,38.5,3.0,15.5
Aesculus hippocastanum,10.0,7.0,38.5,3.0,7.0
Aesculus hippocastanum,10.0,7.0,38.5,3.0,5.8
Aesculus hippocastanum,6.0,5.0,19.6,1.8,8.8
Aesculus hippocastanum,5.0,3.0,7.1,1.5,8.7
Aesculus hippocastanum,3.0,1.0,0.8,0.9,1.6
Aesculus hippocastanum,6.0,6.0,28.3,1.8,7.7
Aesculus hippocastanum,3.0,3.0,7.1,0.9,2.0
Aesculus hippocastanum,14.0,5.0,19.6,4.2,20.4
Aesculus hippocastanum,8.0,4.0,12.6,2.4,17.5
Aesculus hippocastanum,10.0,4.0,12.6,3.0,17.6
Aesculus hippocastanum,8.0,6.0,28.3,2.4,12.5
Aesculus hippocastanum,6.0,6.0,28.3,1.8,7.7
Aesculus hippocastanum,7.0,6.0,28.3,2.1,9.9
Aesculus hippocastanum,7.0,6.0,28.3,2.1,6.2
Aesculus hippocastanum,10.0,4.0,12.6,3.0,12.6
Aesculus hippocastanum,7.0,6.0,28.3,2.1,7.8
Aesculus hippocastanum,6.0,6.0,28.3,1.8,6.8
Aesculus hippocastanum,7.0,6.0,28.3,2.1,10.2
Aesculus hippocastanum,15.0,8.0,50.3,4.5,13.0
Aesculus hippocastanum,14.0,7.0,38.5,4.2,29.3
Aesculus hippocastanum,14.0,6.0,28.3,4.2,17.5
Aesculus hippocastanum,15.0,8.0,50.3,4.5,21.3
Aesculus hippocastanum,8.0,6.0,28.3,2.4,8.5
Aesculus hippocastanum,10.0,4.0,12.6,3.0,17.6
Aesculus hippocastanum,10.0,4.0,12.6,3.0,17.6
Aesculus hippocastanum,10.0,9.0,63.6,3.0,12.3
Aesculus hippocastanum,8.0,6.0,28.3,2.4,12.5
Aesculus hippocastanum,15.0,7.0,38.5,4.5,16.2
Aesculus hippocastanum,13.0,8.0,50.3,3.9,17.6
Aesculus hippocastanum,13.0,5.0,19.6,3.9,17.5
Aesculus hippocastanum,14.0,11.0,95.0,4.2,22.5
Carpinus betulus,10.0,10.0,78.5,3.0,5.3
Carpinus betulus,4.0,3.0,7.1,1.2,3.5
Carpinus betulus,4.0,3.0,7.1,1.2,3.5
Carpinus betulus,8.0,6.0,28.3,2.4,2.5
Carpinus betulus,8.0,4.0,12.6,2.4,1.7
Carpinus betulus,8.0,4.0,12.6,2.4,3.9
Carpinus betulus,8.0,3.0,7.1,2.4,2.1
Carpinus betulus,8.0,6.0,28.3,2.4,6.3
Carpinus betulus,8.0,3.0,7.1,2.4,2.7
Carpinus betulus,9.0,6.0,28.3,2.7,3.9
Carpinus betulus,4.0,3.0,7.1,1.2,3.5
Carpinus betulus,8.0,6.0,28.3,2.4,5.6
Carpinus betulus,5.0,4.0,12.6,1.5,3.5
Carpinus betulus,5.0,4.0,12.6,1.5,3.5
Carpinus betulus,4.0,3.0,7.1,1.2,3.5
Carpinus betulus,4.0,3.0,7.1,1.2,3.5
Carpinus betulus,4.0,3.0,7.1,1.2,3.5
Carpinus betulus,6.0,5.0,19.6,1.8,3.2
Carpinus betulus,4.0,3.0,7.1,1.2,3.5
Carpinus betulus,8.0,6.0,28.3,2.4,6.3
Carpinus betulus,4.0,3.0,7.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,3.0,7.1,1.2,3.5
Carpinus betulus,18.0,4.0,12.6,5.4,5.3
Carpinus betulus,12.0,3.0,7.1,3.6,3.9
Carpinus betulus,10.0,6.0,28.3,3.0,3.7
Carpinus betulus,12.0,3.0,7.1,3.6,3.9
Carpinus betulus,8.0,6.0,28.3,2.4,3.7
Carpinus betulus,12.0,6.0,28.3,3.6,3.7
Carpinus betulus,12.0,6.0,28.3,3.6,3.7
Carpinus betulus,10.0,3.0,7.1,3.0,1.7
Carpinus betulus,10.0,3.0,7.1,3.0,1.7
Carpinus betulus,6.0,4.0,12.6,1.8,3.0
Carpinus betulus,10.0,6.0,28.3,3.0,3.5
Carpinus betulus,6.2,3.6,10.1,1.9,3.2
Carpinus betulus,6.2,3.6,10.1,1.9,3.2
Carpinus betulus,6.2,3.6,10.1,1.9,3.2
Carpinus betulus,6.2,3.6,10.1,1.9,3.2
Carpinus betulus,20.0,4.0,12.6,6.0,5.3
Carpinus betulus,4.0,3.0,7.1,1.2,3.5
Carpinus betulus,12.0,6.0,28.3,3.6,4.4
Carpinus betulus,6.0,4.0,12.6,1.8,2.3
Carpinus betulus,4.0,3.0,7.1,1.2,3.5
Carpinus betulus,4.0,3.0,7.1,1.2,3.5
Carpinus betulus,4.0,3.0,7.1,1.2,3.5
Carpinus betulus,6.0,4.0,12.6,1.8,5.3
Carpinus betulus,10.0,7.0,38.5,3.0,6.4
Carpinus betulus,13.0,7.0,38.5,3.9,5.6
Carpinus betulus,14.0,7.0,38.5,4.2,3.2
Carpinus betulus,12.0,7.0,38.5,3.6,4.5
Carpinus betulus,10.0,6.0,28.3,3.0,4.2
Carpinus betulus,12.0,6.0,28.3,3.6,4.2
Carpinus betulus,14.0,4.0,12.6,4.2,6.6
Carpinus betulus,5.0,5.0,19.6,1.5,6.7
Carpinus betulus,6.0,4.0,12.6,1.8,2.3
Carpinus betulus,6.0,4.0,12.6,1.8,2.3
Carpinus betulus,6.0,4.0,12.6,1.8,2.3
Carpinus betulus,12.0,8.0,50.3,3.6,4.4
Carpinus betulus,6.0,4.0,12.6,1.8,5.3
Carpinus betulus,6.0,4.0,12.6,1.8,5.3
Carpinus betulus,6.0,4.0,12.6,1.8,5.3
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,7.0,4.0,12.6,2.1,2.3
Carpinus betulus,7.0,3.0,7.1,2.1,2.3
Carpinus betulus,7.0,4.0,12.6,2.1,2.7
Carpinus betulus,3.0,1.0,0.8,0.9,0.8
Carpinus betulus,7.0,4.0,12.6,2.1,2.7
Carpinus betulus,6.0,4.0,12.6,1.8,2.3
Carpinus betulus,7.0,4.0,12.6,2.1,2.7
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,7.0,4.0,12.6,2.1,2.7
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,7.0,3.0,7.1,2.1,2.3
Carpinus betulus,7.0,4.0,12.6,2.1,2.7
Carpinus betulus,7.0,3.0,7.1,2.1,2.3
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,10.0,14.0,153.9,3.0,0.3
Carpinus betulus,5.0,3.5,9.6,1.5,2.1
Carpinus betulus,5.0,3.0,7.1,1.5,2.1
Carpinus betulus,4.5,2.5,4.9,1.3,2.1
Carpinus betulus,4.5,2.5,4.9,1.3,1.7
Carpinus betulus,3.0,1.0,0.8,0.9,1.3
Carpinus betulus,5.0,2.5,4.9,1.5,1.7
Carpinus betulus,9.0,9.0,63.6,2.7,6.4
Carpinus betulus,8.0,8.0,50.3,2.4,5.6
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,6.0,3.0,7.1,1.8,1.9
Carpinus betulus,7.0,5.0,19.6,2.1,2.3
Carpinus betulus,3.0,1.0,0.8,0.9,0.8
Carpinus betulus,7.0,5.0,19.6,2.1,2.3
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,6.0,4.0,12.6,1.8,5.3
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.2
Carpinus betulus,4.0,2.0,3.1,1.2,3.2
Carpinus betulus,4.0,2.0,3.1,1.2,3.2
Carpinus betulus,4.0,2.0,3.1,1.2,3.2
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,13.0,4.0,12.6,3.9,3.9
Carpinus betulus,13.0,6.0,28.3,3.9,2.7
Carpinus betulus,14.0,8.0,50.3,4.2,5.6
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,10.0,4.0,12.6,3.0,0.3
Carpinus betulus,6.0,4.0,12.6,1.8,5.3
Carpinus betulus,6.0,4.0,12.6,1.8,5.3
Carpinus betulus,3.0,1.0,0.8,0.9,0.8
Carpinus betulus,6.0,4.0,12.6,1.8,5.3
Carpinus betulus,6.0,4.0,12.6,1.8,5.3
Carpinus betulus,6.0,4.0,12.6,1.8,5.3
Carpinus betulus,6.0,4.0,12.6,1.8,5.3
Carpinus betulus,6.0,4.0,12.6,1.8,5.3
Carpinus betulus,6.0,4.0,12.6,1.8,5.3
Carpinus betulus,6.0,4.0,12.6,1.8,5.3
Carpinus betulus,4.0,2.0,3.1,1.2,3.2
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.2
Carpinus betulus,6.2,3.6,10.1,1.9,3.2
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.2
Carpinus betulus,14.0,8.0,50.3,4.2,3.7
Carpinus betulus,13.0,8.0,50.3,3.9,4.7
Carpinus betulus,14.0,4.0,12.6,4.2,3.5
Carpinus betulus,7.0,4.0,12.6,2.1,3.5
Carpinus betulus,8.0,10.0,78.5,2.4,3.9
Carpinus betulus,6.2,3.6,10.1,1.9,3.2
Carpinus betulus,11.0,6.0,28.3,3.3,3.0
Carpinus betulus,12.0,10.0,78.5,3.6,6.4
Carpinus betulus,13.0,8.0,50.3,3.9,4.7
Carpinus betulus,7.0,3.0,7.1,2.1,2.3
Carpinus betulus,4.0,3.0,7.1,1.2,4.2
Carpinus betulus,6.0,5.0,19.6,1.8,3.5
Carpinus betulus,8.0,5.0,19.6,2.4,6.7
Carpinus betulus,3.0,4.0,12.6,0.9,2.1
Carpinus betulus,3.0,3.0,7.1,0.9,3.9
Carpinus betulus,7.0,5.0,19.6,2.1,3.9
Carpinus betulus,8.0,4.0,12.6,2.4,3.2
Carpinus betulus,7.0,6.0,28.3,2.1,3.9
Carpinus betulus,6.0,7.0,38.5,1.8,3.7
Carpinus betulus,3.0,1.5,1.8,0.9,1.7
Carpinus betulus,3.0,1.5,1.8,0.9,1.7
Carpinus betulus,6.0,7.0,38.5,1.8,3.9
Carpinus betulus,4.0,3.0,7.1,1.2,2.7
Carpinus betulus,4.0,3.5,9.6,1.2,1.7
Carpinus betulus,7.0,5.0,19.6,2.1,5.8
Carpinus betulus,7.0,3.0,7.1,2.1,3.0
Carpinus betulus,7.0,5.0,19.6,2.1,3.5
Carpinus betulus,7.0,5.0,19.6,2.1,3.2
Carpinus betulus,6.0,4.0,12.6,1.8,2.1
Carpinus betulus,7.0,6.0,28.3,2.1,2.3
Carpinus betulus,6.0,4.0,12.6,1.8,3.0
Carpinus betulus,5.0,3.0,7.1,1.5,2.5
Carpinus betulus,4.0,2.0,3.1,1.2,1.7
Carpinus betulus,3.0,2.0,3.1,0.9,3.0
Carpinus betulus,6.0,5.0,19.6,1.8,2.7
Carpinus betulus,7.0,6.0,28.3,2.1,3.9
Carpinus betulus,7.0,2.0,3.1,2.1,2.3
Carpinus betulus,8.0,4.0,12.6,2.4,3.9
Carpinus betulus,8.0,5.0,19.6,2.4,3.2
Carpinus betulus,8.0,5.0,19.6,2.4,3.9
Carpinus betulus,5.0,3.0,7.1,1.5,2.1
Carpinus betulus,10.0,6.0,28.3,3.0,6.7
Carpinus betulus,11.0,5.0,19.6,3.3,4.8
Carpinus betulus,12.0,7.0,38.5,3.6,6.1
Carpinus betulus,9.0,7.0,38.5,2.7,2.3
Carpinus betulus,10.0,6.5,33.2,3.0,5.3
Carpinus betulus,8.0,4.0,12.6,2.4,3.9
Carpinus betulus,7.0,5.0,19.6,2.1,3.2
Carpinus betulus,9.0,6.0,28.3,2.7,5.5
Carpinus betulus,10.5,6.0,28.3,3.2,4.8
Carpinus betulus,10.0,6.0,28.3,3.0,4.8
Carpinus betulus,9.0,6.0,28.3,2.7,5.2
Carpinus betulus,11.0,6.0,28.3,3.3,6.7
Carpinus betulus,8.0,6.0,28.3,2.4,6.1
Carpinus betulus,8.0,5.0,19.6,2.4,5.6
Carpinus betulus,7.0,6.0,28.3,2.1,5.6
Carpinus betulus,8.0,6.0,28.3,2.4,6.1
Carpinus betulus,7.0,3.0,7.1,2.1,3.9
Carpinus betulus,8.0,5.0,19.6,2.4,3.9
Carpinus betulus,4.0,2.5,4.9,1.2,2.1
Carpinus betulus,5.5,3.0,7.1,1.7,2.5
Carpinus betulus,4.0,2.5,4.9,1.2,1.5
Carpinus betulus,5.0,2.0,3.1,1.5,1.7
Carpinus betulus,3.0,2.5,4.9,0.9,1.7
Carpinus betulus,5.0,3.5,9.6,1.5,3.0
Carpinus betulus,5.0,4.0,12.6,1.5,2.7
Carpinus betulus,4.0,3.5,9.6,1.2,1.7
Carpinus betulus,4.0,3.0,7.1,1.2,1.7
Carpinus betulus,3.0,2.0,3.1,0.9,1.3
Carpinus betulus,7.0,3.0,7.1,2.1,2.7
Carpinus betulus,6.0,4.0,12.6,1.8,2.5
Carpinus betulus,6.0,1.5,1.8,1.8,1.7
Carpinus betulus,6.0,2.0,3.1,1.8,2.1
Carpinus betulus,9.0,5.0,19.6,2.7,5.3
Carpinus betulus,10.0,7.0,38.5,3.0,5.3
Carpinus betulus,9.0,4.0,12.6,2.7,3.9
Carpinus betulus,10.0,7.0,38.5,3.0,6.7
Carpinus betulus,10.0,11.0,95.0,3.0,6.4
Carpinus betulus,10.0,6.0,28.3,3.0,6.4
Carpinus betulus,12.0,7.0,38.5,3.6,6.7
Carpinus betulus,12.0,6.0,28.3,3.6,6.3
Carpinus betulus,4.0,1.5,1.8,1.2,1.7
Carpinus betulus,4.0,1.5,1.8,1.2,1.3
Carpinus betulus,8.0,4.0,12.6,2.4,1.7
Carpinus betulus,7.0,2.0,3.1,2.1,0.6
Carpinus betulus,4.0,1.0,0.8,1.2,1.7
Carpinus betulus,4.0,2.0,3.1,1.2,1.3
Carpinus betulus,4.0,1.5,1.8,1.2,1.7
Carpinus betulus,4.0,2.0,3.1,1.2,1.9
Carpinus betulus,3.5,1.5,1.8,1.0,1.7
Carpinus betulus,4.0,1.5,1.8,1.2,2.1
Carpinus betulus,7.0,5.0,19.6,2.1,6.7
Carpinus betulus,7.0,6.0,28.3,2.1,3.9
Carpinus betulus,10.0,9.0,63.6,3.0,3.9
Carpinus betulus,3.5,1.5,1.8,1.0,1.7
Carpinus betulus,11.0,8.0,50.3,3.3,3.9
Carpinus betulus,3.5,1.5,1.8,1.0,0.8
Carpinus betulus,6.0,4.0,12.6,1.8,3.9
Carpinus betulus,7.0,4.0,12.6,2.1,5.6
Carpinus betulus,3.0,1.0,0.8,0.9,1.3
Carpinus betulus,4.0,3.0,7.1,1.2,1.7
Carpinus betulus,11.0,8.0,50.3,3.3,0.3
Carpinus betulus,5.0,4.0,12.6,1.5,2.1
Carpinus betulus,9.0,5.0,19.6,2.7,6.7
Carpinus betulus,6.0,2.5,4.9,1.8,2.5
Carpinus betulus,4.0,2.5,4.9,1.2,2.1
Carpinus betulus,5.0,4.0,12.6,1.5,2.3
Carpinus betulus,8.0,4.0,12.6,2.4,2.3
Carpinus betulus,8.0,5.0,19.6,2.4,2.7
Carpinus betulus,7.0,3.0,7.1,2.1,2.7
Carpinus betulus,9.0,5.0,19.6,2.7,3.9
Carpinus betulus,9.0,5.0,19.6,2.7,3.9
Carpinus betulus,8.0,7.0,38.5,2.4,3.9
Carpinus betulus,8.0,8.0,50.3,2.4,3.9
Carpinus betulus,8.0,7.0,38.5,2.4,3.9
Carpinus betulus,7.0,6.0,28.3,2.1,3.5
Carpinus betulus,8.0,4.0,12.6,2.4,3.9
Carpinus betulus,4.0,1.5,1.8,1.2,1.7
Carpinus betulus,3.5,1.0,0.8,1.0,1.7
Carpinus betulus,7.0,6.0,28.3,2.1,3.7
Carpinus betulus,6.0,4.0,12.6,1.8,3.7
Carpinus betulus,5.0,3.0,7.1,1.5,3.7
Carpinus betulus,9.0,7.0,38.5,2.7,3.9
Carpinus betulus,8.0,8.0,50.3,2.4,3.7
Carpinus betulus,6.0,3.0,7.1,1.8,3.5
Carpinus betulus,5.0,3.0,7.1,1.5,2.1
Carpinus betulus,4.0,5.0,19.6,1.2,1.7
Carpinus betulus,9.0,5.0,19.6,2.7,3.9
Carpinus betulus,10.0,7.0,38.5,3.0,6.7
Carpinus betulus,7.5,6.0,28.3,2.3,1.0
Carpinus betulus,9.0,6.0,28.3,2.7,5.3
Carpinus betulus,9.0,6.0,28.3,2.7,6.1
Carpinus betulus,12.0,7.0,38.5,3.6,6.1
Carpinus betulus,12.0,8.0,50.3,3.6,6.8
Carpinus betulus,3.0,1.0,0.8,0.9,1.0
Carpinus betulus,4.0,2.0,3.1,1.2,3.0
Carpinus betulus,3.0,2.0,3.1,0.9,2.5
Carpinus betulus,3.0,2.0,3.1,0.9,3.0
Carpinus betulus,3.0,2.0,3.1,0.9,2.5
Carpinus betulus,3.0,2.0,3.1,0.9,2.5
Carpinus betulus,4.0,2.0,3.1,1.2,3.0
Carpinus betulus,3.0,1.0,0.8,0.9,1.3
Carpinus betulus,6.0,4.0,12.6,1.8,3.6
Carpinus betulus,6.0,5.0,19.6,1.8,5.6
Carpinus betulus,8.0,5.0,19.6,2.4,4.8
Carpinus betulus,9.0,3.0,7.1,2.7,3.9
Carpinus betulus,8.0,5.0,19.6,2.4,0.5
Carpinus betulus,5.0,2.0,3.1,1.5,3.0
Carpinus betulus,9.0,8.0,50.3,2.7,6.2
Carpinus betulus,6.0,5.0,19.6,1.8,3.3
Carpinus betulus,7.0,6.0,28.3,2.1,4.1
Carpinus betulus,8.0,5.0,19.6,2.4,3.3
Carpinus betulus,8.0,6.0,28.3,2.4,4.9
Carpinus betulus,12.0,8.0,50.3,3.6,6.6
Carpinus betulus,8.0,4.0,12.6,2.4,4.1
Carpinus betulus,7.0,4.5,15.9,2.1,3.5
Carpinus betulus,4.0,3.0,7.1,1.2,1.7
Carpinus betulus,7.0,5.0,19.6,2.1,4.7
Carpinus betulus,3.0,1.0,0.8,0.9,1.9
Carpinus betulus,3.0,1.0,0.8,0.9,1.1
Carpinus betulus,5.0,1.0,0.8,1.5,1.0
Carpinus betulus,9.0,7.0,38.5,2.7,6.3
Carpinus betulus,4.0,2.0,3.1,1.2,3.2
