Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Gross Carbon Sequestration (kg/yr)
Aesculus hippocastanum,3.5,2.0,3.1,1.0,1.3
Aesculus hippocastanum,3.0,1.0,0.8,0.9,1.1
Aesculus hippocastanum,7.0,4.0,12.6,2.1,3.5
Aesculus hippocastanum,9.0,11.0,95.0,2.7,17.5
Aesculus hippocastanum,4.0,2.5,4.9,1.2,2.2
Aesculus hippocastanum,11.0,11.0,95.0,3.3,17.7
Aesculus hippocastanum,3.5,1.5,1.8,1.0,1.3
Aesculus hippocastanum,9.5,11.0,95.0,2.8,22.1
Aesculus hippocastanum,10.0,10.0,78.5,3.0,22.1
Aesculus hippocastanum,3.5,2.5,4.9,1.0,2.2
Aesculus hippocastanum,4.0,4.0,12.6,1.2,2.9
Aesculus hippocastanum,4.0,3.0,7.1,1.2,1.3
Aesculus hippocastanum,8.0,8.0,50.3,2.4,4.6
Aesculus hippocastanum,11.0,8.0,50.3,3.3,13.5
Aesculus hippocastanum,8.0,5.0,19.6,2.4,3.3
Aesculus hippocastanum,8.0,8.0,50.3,2.4,9.6
Aesculus hippocastanum,4.0,3.5,9.6,1.2,2.4
Aesculus hippocastanum,8.0,8.0,50.3,2.4,17.5
Aesculus hippocastanum,6.0,3.0,7.1,1.8,1.7
Aesculus hippocastanum,11.0,10.0,78.5,3.3,17.7
Aesculus hippocastanum,3.0,2.0,3.1,0.9,1.1
Aesculus hippocastanum,3.0,2.0,3.1,0.9,1.2
Aesculus hippocastanum,4.0,2.5,4.9,1.2,2.2
Aesculus hippocastanum,4.5,3.5,9.6,1.3,2.5
Aesculus hippocastanum,4.0,4.0,12.6,1.2,2.4
Aesculus hippocastanum,4.5,4.0,12.6,1.3,2.2
Aesculus hippocastanum,4.0,3.5,9.6,1.2,2.4
Aesculus hippocastanum,4.0,3.5,9.6,1.2,2.4
Aesculus hippocastanum,5.5,3.5,9.6,1.7,1.9
Aesculus hippocastanum,5.0,4.0,12.6,1.5,3.9
Aesculus hippocastanum,3.5,2.5,4.9,1.0,1.6
Aesculus hippocastanum,3.5,2.0,3.1,1.0,1.1
Aesculus hippocastanum,13.0,8.0,50.3,3.9,8.8
Aesculus hippocastanum,12.0,7.0,38.5,3.6,9.8
Aesculus hippocastanum,15.0,6.0,28.3,4.5,9.2
Aesculus hippocastanum,13.0,7.0,38.5,3.9,8.1
Aesculus hippocastanum,8.0,6.0,28.3,2.4,9.6
Aesculus hippocastanum,5.5,4.0,12.6,1.7,2.9
Aesculus hippocastanum,5.0,4.0,12.6,1.5,2.9
Aesculus hippocastanum,4.5,3.5,9.6,1.3,2.9
Aesculus hippocastanum,4.5,3.5,9.6,1.3,2.9
Aesculus hippocastanum,5.5,3.5,9.6,1.7,2.5
Aesculus hippocastanum,4.0,3.0,7.1,1.2,2.9
Aesculus hippocastanum,4.5,3.5,9.6,1.3,2.9
Aesculus hippocastanum,4.0,3.5,9.6,1.2,2.2
Aesculus hippocastanum,12.0,8.0,50.3,3.6,17.7
Aesculus hippocastanum,3.5,3.5,9.6,1.0,2.0
Aesculus hippocastanum,3.5,2.5,4.9,1.0,2.0
Aesculus hippocastanum,3.5,2.5,4.9,1.0,2.6
Aesculus hippocastanum,3.0,1.5,1.8,0.9,0.9
Aesculus hippocastanum,3.5,3.0,7.1,1.0,1.6
Aesculus hippocastanum,11.0,12.0,113.1,3.3,27.1
Aesculus hippocastanum,3.5,2.5,4.9,1.0,1.6
Aesculus hippocastanum,3.5,2.0,3.1,1.0,1.3
Aesculus hippocastanum,5.0,4.0,12.6,1.5,2.9
Aesculus hippocastanum,14.0,10.0,78.5,4.2,24.9
Aesculus hippocastanum,4.0,4.0,12.6,1.2,2.9
Aesculus hippocastanum,2.5,2.0,3.1,0.8,1.2
Aesculus hippocastanum,10.5,8.0,50.3,3.2,14.7
Aesculus hippocastanum,8.5,7.0,38.5,2.6,11.4
Aesculus hippocastanum,6.0,4.5,15.9,1.8,1.9
Aesculus hippocastanum,7.0,4.5,15.9,2.1,2.5
Aesculus hippocastanum,7.0,5.0,19.6,2.1,2.1
Aesculus hippocastanum,3.0,1.5,1.8,0.9,1.1
Aesculus hippocastanum,5.0,4.5,15.9,1.5,3.2
Aesculus hippocastanum,5.5,5.0,19.6,1.7,3.9
Aesculus hippocastanum,9.5,8.0,50.3,2.8,15.4
Aesculus hippocastanum,7.0,7.0,38.5,2.1,4.8
Aesculus hippocastanum,5.0,3.0,7.1,1.5,1.5
Aesculus hippocastanum,7.0,4.0,12.6,2.1,2.5
Aesculus hippocastanum,3.5,1.5,1.8,1.0,0.9
Aesculus hippocastanum,5.5,7.0,38.5,1.7,3.9
Aesculus hippocastanum,4.5,4.5,15.9,1.3,1.8
Aesculus hippocastanum,9.5,11.0,95.0,2.8,15.4
Aesculus hippocastanum,3.0,1.5,1.8,0.9,1.2
Aesculus hippocastanum,3.5,2.5,4.9,1.0,1.6
Aesculus hippocastanum,3.5,2.5,4.9,1.0,1.4
Aesculus hippocastanum,3.5,2.5,4.9,1.0,1.3
Aesculus hippocastanum,10.0,11.0,95.0,3.0,15.5
Aesculus hippocastanum,10.0,11.0,95.0,3.0,13.4
Aesculus hippocastanum,4.5,4.0,12.6,1.3,1.6
Aesculus hippocastanum,3.0,1.5,1.8,0.9,1.2
Aesculus hippocastanum,6.0,4.0,12.6,1.8,2.7
Aesculus hippocastanum,5.5,5.0,19.6,1.7,1.9
Aesculus hippocastanum,2.5,1.5,1.8,0.8,0.9
Aesculus hippocastanum,12.0,13.0,132.7,3.6,18.6
Aesculus hippocastanum,3.5,2.5,4.9,1.0,1.8
Aesculus hippocastanum,12.5,12.5,122.7,3.8,31.3
Aesculus hippocastanum,3.5,2.5,4.9,1.0,1.8
Aesculus hippocastanum,12.0,12.0,113.1,3.6,17.7
Aesculus hippocastanum,12.0,12.0,113.1,3.6,19.1
Aesculus hippocastanum,12.0,12.0,113.1,3.6,16.9
Aesculus hippocastanum,12.5,12.0,113.1,3.8,21.4
Aesculus hippocastanum,11.0,10.0,78.5,3.3,13.5
Aesculus hippocastanum,9.0,4.0,12.6,2.7,3.6
Aesculus hippocastanum,12.0,11.0,95.0,3.6,15.6
Aesculus hippocastanum,11.0,12.0,113.1,3.3,21.3
Aesculus hippocastanum,10.0,10.0,78.5,3.0,15.9
Aesculus hippocastanum,11.0,11.0,95.0,3.3,16.8
Aesculus hippocastanum,9.0,8.0,50.3,2.7,10.3
Aesculus hippocastanum,9.0,8.0,50.3,2.7,9.6
Aesculus hippocastanum,11.0,9.0,63.6,3.3,17.2
Aesculus hippocastanum,3.0,2.0,3.1,0.9,0.9
Aesculus hippocastanum,7.0,5.0,19.6,2.1,4.0
Aesculus hippocastanum,5.6,2.5,4.9,1.7,1.9
Aesculus hippocastanum,8.0,8.0,50.3,2.4,12.5
Aesculus hippocastanum,12.0,10.0,78.5,3.6,21.8
Aesculus hippocastanum,15.0,8.0,50.3,4.5,7.5
Aesculus hippocastanum,12.0,8.0,50.3,3.6,17.7
Aesculus hippocastanum,12.0,10.0,78.5,3.6,17.7
Aesculus hippocastanum,3.0,2.0,3.1,0.9,1.2
Aesculus hippocastanum,10.0,5.0,19.6,3.0,11.5
Aesculus hippocastanum,12.0,10.0,78.5,3.6,27.2
Aesculus hippocastanum,12.0,10.0,78.5,3.6,13.6
Aesculus hippocastanum,12.0,10.0,78.5,3.6,22.3
Aesculus hippocastanum,10.0,7.0,38.5,3.0,13.4
Aesculus hippocastanum,12.0,10.0,78.5,3.6,22.3
Aesculus hippocastanum,12.0,8.0,50.3,3.6,27.2
Aesculus hippocastanum,4.0,2.0,3.1,1.2,3.4
Aesculus hippocastanum,12.0,6.0,28.3,3.6,9.8
Aesculus hippocastanum,6.0,3.0,7.1,1.8,6.2
Aesculus hippocastanum,10.0,9.0,63.6,3.0,17.6
Aesculus hippocastanum,12.0,7.0,38.5,3.6,22.3
Aesculus hippocastanum,12.0,8.0,50.3,3.6,23.3
Aesculus hippocastanum,12.0,10.0,78.5,3.6,23.3
Aesculus hippocastanum,12.0,10.0,78.5,3.6,27.2
Aesculus hippocastanum,7.0,8.0,50.3,2.1,9.5
Aesculus hippocastanum,12.0,10.0,78.5,3.6,29.7
Aesculus hippocastanum,6.0,4.0,12.6,1.8,2.3
Aesculus hippocastanum,7.0,6.0,28.3,2.1,3.5
Aesculus hippocastanum,6.0,3.0,7.1,1.8,4.7
Aesculus hippocastanum,4.0,4.0,12.6,1.2,1.3
Aesculus hippocastanum,6.0,3.0,7.1,1.8,3.0
Aesculus hippocastanum,12.0,7.0,38.5,3.6,17.7
Aesculus hippocastanum,6.0,3.0,7.1,1.8,3.0
Aesculus hippocastanum,10.0,8.0,50.3,3.0,11.5
Aesculus hippocastanum,11.0,8.0,50.3,3.3,9.7
Aesculus hippocastanum,6.0,5.0,19.6,1.8,4.5
Aesculus hippocastanum,11.0,10.0,78.5,3.3,11.2
Aesculus hippocastanum,7.0,16.0,201.1,2.1,9.5
Aesculus hippocastanum,10.0,6.0,28.3,3.0,17.6
Aesculus hippocastanum,8.0,6.0,28.3,2.4,11.4
Aesculus hippocastanum,6.0,5.0,19.6,1.8,6.2
Aesculus hippocastanum,12.0,6.0,28.3,3.6,6.5
Aesculus hippocastanum,12.0,8.0,50.3,3.6,9.8
Aesculus hippocastanum,9.0,6.0,28.3,2.7,17.5
Aesculus hippocastanum,7.0,4.0,12.6,2.1,5.6
Aesculus hippocastanum,12.0,6.0,28.3,3.6,9.8
Aesculus hippocastanum,10.0,10.0,78.5,3.0,18.5
Aesculus hippocastanum,8.0,6.0,28.3,2.4,13.3
Aesculus hippocastanum,9.0,4.0,12.6,2.7,7.9
Aesculus hippocastanum,4.0,2.0,3.1,1.2,1.3
Aesculus hippocastanum,12.0,8.0,50.3,3.6,15.6
Aesculus hippocastanum,8.0,4.0,12.6,2.4,11.4
Aesculus hippocastanum,12.0,6.0,28.3,3.6,9.8
Aesculus hippocastanum,12.0,6.0,28.3,3.6,13.6
Aesculus hippocastanum,10.0,8.0,50.3,3.0,17.6
Aesculus hippocastanum,9.0,7.0,38.5,2.7,10.3
Aesculus hippocastanum,6.0,6.0,28.3,1.8,4.7
Aesculus hippocastanum,9.0,6.0,28.3,2.7,4.9
Aesculus hippocastanum,12.0,8.0,50.3,3.6,20.0
Aesculus hippocastanum,8.0,6.0,28.3,2.4,5.7
Aesculus hippocastanum,12.0,6.0,28.3,3.6,6.5
Aesculus hippocastanum,8.0,6.0,28.3,2.4,3.5
Aesculus hippocastanum,12.0,8.0,50.3,3.6,17.7
Aesculus hippocastanum,12.0,6.0,28.3,3.6,9.8
Aesculus hippocastanum,7.0,4.0,12.6,2.1,6.2
Aesculus hippocastanum,8.0,8.0,50.3,2.4,4.0
Aesculus hippocastanum,12.0,6.0,28.3,3.6,9.8
Aesculus hippocastanum,12.0,8.0,50.3,3.6,13.6
Aesculus hippocastanum,6.0,3.0,7.1,1.8,2.5
Aesculus hippocastanum,9.0,8.0,50.3,2.7,8.9
Aesculus hippocastanum,8.0,6.0,28.3,2.4,5.7
Aesculus hippocastanum,8.0,3.5,9.6,2.4,2.6
Aesculus hippocastanum,7.5,4.0,12.6,2.3,3.0
Aesculus hippocastanum,3.0,3.0,7.1,0.9,0.9
Aesculus hippocastanum,8.0,8.0,50.3,2.4,6.3
Aesculus hippocastanum,8.0,6.0,28.3,2.4,7.9
Aesculus hippocastanum,6.0,3.0,7.1,1.8,2.3
Aesculus hippocastanum,14.0,9.0,63.6,4.2,17.9
Aesculus hippocastanum,8.0,4.0,12.6,2.4,4.8
Aesculus hippocastanum,7.0,5.0,19.6,2.1,7.8
Aesculus hippocastanum,6.0,3.0,7.1,1.8,2.3
Aesculus hippocastanum,12.0,3.5,9.6,3.6,4.2
Aesculus hippocastanum,11.0,8.0,50.3,3.3,8.0
Aesculus hippocastanum,8.0,4.0,12.6,2.4,7.9
Aesculus hippocastanum,8.0,6.0,28.3,2.4,7.9
Aesculus hippocastanum,7.0,6.0,28.3,2.1,3.5
Aesculus hippocastanum,12.0,6.0,28.3,3.6,17.7
Aesculus hippocastanum,12.0,7.0,38.5,3.6,6.5
Aesculus hippocastanum,5.0,4.0,12.6,1.5,2.9
Aesculus hippocastanum,7.0,6.0,28.3,2.1,6.2
Aesculus hippocastanum,12.0,8.0,50.3,3.6,22.3
Aesculus hippocastanum,12.0,6.0,28.3,3.6,3.2
Aesculus hippocastanum,12.0,7.0,38.5,3.6,13.6
Aesculus hippocastanum,12.0,6.0,28.3,3.6,20.0
Aesculus hippocastanum,7.0,6.0,28.3,2.1,6.2
Aesculus hippocastanum,8.0,6.0,28.3,2.4,9.6
Aesculus hippocastanum,8.0,6.0,28.3,2.4,7.9
Aesculus hippocastanum,12.0,9.0,63.6,3.6,20.0
Aesculus hippocastanum,9.0,6.0,28.3,2.7,7.9
Aesculus hippocastanum,6.0,4.0,12.6,1.8,6.2
Aesculus hippocastanum,12.0,8.0,50.3,3.6,20.0
Aesculus hippocastanum,10.0,6.0,28.3,3.0,6.4
