Neighborhood,Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Oxygen Production (kg/yr),Count
S.GIUSEPPE-S.CHIARA,Other,9,8,50.3,2.7,24,1
RAVINA-ROMAGNANO,Other,5,5,19.6,1.5,17.9,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,5.6,2.5,4.9,1.7,5,1
GARDOLO,Other,5,4,12.6,1.5,10.2,1
CENTRO STORICO PIEDICASTELLO,Other,10,3,7.1,3,9.800000000000001,1
GARDOLO,Other,3,2,3.1,0.9,2.2,1
OLTREFERSINA,Other,12,3,7.1,3.6,25.5,1
OLTREFERSINA,Other,13,10,78.5,3.9,21.3,1
CENTRO STORICO PIEDICASTELLO,Other,8,5.3,21.7,2.4,21.5,1
CENTRO STORICO PIEDICASTELLO,Other,15,14,153.9,4.5,24.5,1
S.GIUSEPPE-S.CHIARA,Other,15,6,28.3,4.5,19.7,1
VILLAZZANO,Other,5,2.5,4.9,1.5,3.9,3
CENTRO STORICO PIEDICASTELLO,Other,7,6,28.3,2.1,27.1,1
GARDOLO,Other,5,2,3.1,1.5,3.5,2
BONDONE,Other,7,4,12.6,2.1,8.9,1
CENTRO STORICO PIEDICASTELLO,Other,9,4,12.6,2.7,24.6,1
MATTARELLO,Other,6,3,7.1,1.8,23.4,1
CENTRO STORICO PIEDICASTELLO,Other,3.5,1,0.8,1,1.3,2
S.GIUSEPPE-S.CHIARA,Other,5,3,7.1,1.5,5.8,2
ARGENTARIO,Other,10,5,19.6,3,23.8,1
OLTREFERSINA,Other,6,4,12.6,1.8,18.7,1
OLTREFERSINA,Platanus x hispanica,21,11,95,6.3,94.3,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,10,4,12.6,3,26.7,1
S.GIUSEPPE-S.CHIARA,Platanus x hispanica,12,14,153.9,3.6,68.40000000000001,1
S.GIUSEPPE-S.CHIARA,Other,5,4,12.6,1.5,16.7,1
MEANO,Other,4,1,0.8,1.2,3.9,1
OLTREFERSINA,Other,5.5,4,12.6,1.7,8.5,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,11,12,113.1,3.3,47.1,1
S.GIUSEPPE-S.CHIARA,Other,15,7,38.5,4.5,16.2,1
GARDOLO,Other,6,3,7.1,1.8,5.8,2
GARDOLO,Celtis australis,6,6,28.3,1.8,2.5,2
OLTREFERSINA,Other,4,2.5,4.9,1.2,3.8,1
OLTREFERSINA,Other,8,3,7.1,2.4,6.1,1
VILLAZZANO,Other,6,3.5,9.6,1.8,5,1
