Neighborhood,Name,Height (m),Crown Width (m),Canopy Cover (m2),Crown Height (m),Oxygen Production (kg/yr),Count
S.GIUSEPPE-S.CHIARA,Other,8,6,28.3,2.4,15.6,1
S.GIUSEPPE-S.CHIARA,Other,4,2,3.1,1.2,7.1,2
OLTREFERSINA,Other,21,9,63.6,6.3,78.90000000000001,1
BONDONE,Other,5,2,3.1,1.5,9,1
OLTREFERSINA,Other,5.5,1.5,1.8,1.7,6.8,1
CENTRO STORICO PIEDICASTELLO,Other,18,14,153.9,5.4,56.7,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,20,12,113.1,6,14.6,1
GARDOLO,Other,4,6,28.3,1.2,9.199999999999999,2
OLTREFERSINA,Other,6.7,4.9,19.2,2,7.3,15
S.GIUSEPPE-S.CHIARA,Other,6,4,12.6,1.8,9,1
OLTREFERSINA,Other,8,5.3,21.7,2.4,21.4,2
POVO,Other,5,3,7.1,1.5,4.7,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,14,8,50.3,4.2,38.6,1
OLTREFERSINA,Other,5,4,12.6,1.5,11.3,1
OLTREFERSINA,Other,6,3,7.1,1.8,4.2,1
S.GIUSEPPE-S.CHIARA,Other,18,10,78.5,5.4,58,2
GARDOLO,Other,8,10,78.5,2.4,109.4,1
CENTRO STORICO PIEDICASTELLO,Other,12,8,50.3,3.6,14.6,1
S.GIUSEPPE-S.CHIARA,Other,5,2,3.1,1.5,5.2,1
S.GIUSEPPE-S.CHIARA,Other,13,7,38.5,3.9,17.3,1
CENTRO STORICO PIEDICASTELLO,Other,25,16,201.1,7.5,89.90000000000001,1
S.GIUSEPPE-S.CHIARA,Other,5,4,12.6,1.5,4.3,2
MATTARELLO,Other,5,3,7.1,1.5,9.300000000000001,1
S.GIUSEPPE-S.CHIARA,Other,6,12,113.1,1.8,11.5,1
S.GIUSEPPE-S.CHIARA,Other,14,8,50.3,4.2,14.4,1
OLTREFERSINA,Celtis australis,12,11,95,3.6,4.5,1
MEANO,Platanus x hispanica,2,2,3.1,0.6,6.5,3
GARDOLO,Other,6,3,7.1,1.8,2.8,2
ARGENTARIO,Other,10,9,63.6,3,29.2,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,8,12,113.1,2.4,29.3,1
CENTRO STORICO PIEDICASTELLO,Other,10,5,19.6,3,17.8,1
CENTRO STORICO PIEDICASTELLO,Other,3,2,3.1,0.9,2.1,4
S.GIUSEPPE-S.CHIARA,Other,5,7,38.5,1.5,6.4,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,6,6,28.3,1.8,39.4,1
CENTRO STORICO PIEDICASTELLO,Other,7,4,12.6,2.1,16.8,1
ARGENTARIO,Other,12,5,19.6,3.6,24.6,1
GARDOLO,Other,6,6,28.3,1.8,6,2
CENTRO STORICO PIEDICASTELLO,Other,11,9,63.6,3.3,15.7,1
RAVINA-ROMAGNANO,Other,6,3,7.1,1.8,12,1
GARDOLO,Carpinus betulus,5,2,3.1,1.5,4,1
CENTRO STORICO PIEDICASTELLO,Other,7,6,28.3,2.1,10,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,3,1,0.8,0.9,2,1
S.GIUSEPPE-S.CHIARA,Other,8,6,28.3,2.4,14.9,1
S.GIUSEPPE-S.CHIARA,Other,13,8,50.3,3.9,65.2,1
CENTRO STORICO PIEDICASTELLO,Other,17,6,28.3,5.1,25.3,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,10.5,8,50.3,3.2,39.1,1
CENTRO STORICO PIEDICASTELLO,Other,5,11,95,1.5,12.2,1
CENTRO STORICO PIEDICASTELLO,Other,21,9,63.6,6.3,73.2,1
S.GIUSEPPE-S.CHIARA,Other,8,7,38.5,2.4,7.6,1
GARDOLO,Celtis australis,4,1.5,1.8,1.2,1.1,3
OLTREFERSINA,Other,5.5,1.5,1.8,1.7,2.1,1
CENTRO STORICO PIEDICASTELLO,Other,18,12,113.1,5.4,14.8,1
BONDONE,Other,6,6,28.3,1.8,13.2,2
OLTREFERSINA,Other,3,1.5,1.8,0.9,6.3,1
OLTREFERSINA,Other,8,7,38.5,2.4,63.8,1
VILLAZZANO,Other,7,4,12.6,2.1,8.6,3
S.GIUSEPPE-S.CHIARA,Carpinus betulus,8,4,12.6,2.4,4.5,2
CENTRO STORICO PIEDICASTELLO,Other,7,6,28.3,2.1,18.7,1
OLTREFERSINA,Other,8,6,28.3,2.4,21.6,1
CENTRO STORICO PIEDICASTELLO,Other,7,5,19.6,2.1,17.2,1
OLTREFERSINA,Other,5,4,12.6,1.5,3.8,1
S.GIUSEPPE-S.CHIARA,Other,11,9,63.6,3.3,23.3,2
OLTREFERSINA,Other,9,6,28.3,2.7,9.9,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,9,8.5,56.7,2.7,18.8,1
CENTRO STORICO PIEDICASTELLO,Carpinus betulus,18,4,12.6,5.4,11.7,1
S.GIUSEPPE-S.CHIARA,Celtis australis,8.300000000000001,6.7,35.2,2.5,3.5,9
CENTRO STORICO PIEDICASTELLO,Other,13,10,78.5,3.9,48.8,1
MATTARELLO,Other,6,7,38.5,1.8,13.8,1
GARDOLO,Other,8,8,50.3,2.4,16.7,1
S.GIUSEPPE-S.CHIARA,Other,7,4,12.6,2.1,12,1
S.GIUSEPPE-S.CHIARA,Other,2,2,3.1,0.6,3.2,2
OLTREFERSINA,Other,7,7,38.5,2.1,15.4,1
GARDOLO,Other,4,2,3.1,1.2,7,6
CENTRO STORICO PIEDICASTELLO,Other,3,1.5,1.8,0.9,1.3,1
CENTRO STORICO PIEDICASTELLO,Other,14,10,78.5,4.2,14.4,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,12,8,50.3,3.6,47.3,8
S.GIUSEPPE-S.CHIARA,Other,3.5,1.5,1.8,1,1.6,2
OLTREFERSINA,Celtis australis,8,8,50.3,2.4,3.4,1
OLTREFERSINA,Other,4.5,3,7.1,1.3,3.3,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,8,8,50.3,2.4,3.5,3
OLTREFERSINA,Other,8,6.5,33.2,2.4,21.6,1
OLTREFERSINA,Other,9,7,38.5,2.7,22.2,1
S.GIUSEPPE-S.CHIARA,Celtis australis,16,10,78.5,4.8,5.3,1
OLTREFERSINA,Other,7,5,19.6,2.1,8,1
S.GIUSEPPE-S.CHIARA,Other,10,7,38.5,3,17.9,2
CENTRO STORICO PIEDICASTELLO,Other,5,3,7.1,1.5,5.8,1
CENTRO STORICO PIEDICASTELLO,Other,4,1,0.8,1.2,5.1,1
OLTREFERSINA,Celtis australis,3,1,0.8,0.9,2.2,2
GARDOLO,Tilia cordata,6,4.5,15.9,1.8,6.5,1
CENTRO STORICO PIEDICASTELLO,Carpinus betulus,12,10,78.5,3.6,17.1,1
S.GIUSEPPE-S.CHIARA,Carpinus betulus,6,5,19.6,1.8,8.6,1
S.GIUSEPPE-S.CHIARA,Other,10,6,28.3,3,12.6,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,12,10,78.5,3.6,72.5,2
S.GIUSEPPE-S.CHIARA,Other,47,2,3.1,14.1,3.6,1
POVO,Other,5,3,7.1,1.5,14.9,1
OLTREFERSINA,Other,8.699999999999999,7.2,41.1,2.6,18.7,3
ARGENTARIO,Other,13,11,95,3.9,18.4,1
VILLAZZANO,Other,6,4,12.6,1.8,4.6,1
GARDOLO,Other,7,3,7.1,2.1,15.2,1
MEANO,Other,7,2,3.1,2.1,11.3,2
CENTRO STORICO PIEDICASTELLO,Other,3,1,0.8,0.9,6.3,1
CENTRO STORICO PIEDICASTELLO,Other,21,12,113.1,6.3,89.90000000000001,1
S.GIUSEPPE-S.CHIARA,Other,4.5,2,3.1,1.3,3.2,1
MEANO,Other,5,6,28.3,1.5,24.2,2
OLTREFERSINA,Other,5,3,7.1,1.5,14,2
CENTRO STORICO PIEDICASTELLO,Other,10,10,78.5,3,48.7,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,23,13,132.7,6.9,8.199999999999999,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,12,12.5,122.7,3.6,5.2,1
S.GIUSEPPE-S.CHIARA,Other,2,2,3.1,0.6,5,1
VILLAZZANO,Other,21,3,7.1,6.3,0.6,1
OLTREFERSINA,Other,10,8,50.3,3,9.5,3
CENTRO STORICO PIEDICASTELLO,Other,19,6,28.3,5.7,82,1
OLTREFERSINA,Celtis australis,9,7,38.5,2.7,3,1
GARDOLO,Other,5,3,7.1,1.5,2.1,1
MATTARELLO,Other,5,5,19.6,1.5,7,1
S.GIUSEPPE-S.CHIARA,Other,4,1.5,1.8,1.2,2.4,4
CENTRO STORICO PIEDICASTELLO,Other,7,5,19.6,2.1,15.4,2
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,25,24,452.4,7.5,0.7,1
OLTREFERSINA,Other,16,7,38.5,4.8,1.6,1
S.GIUSEPPE-S.CHIARA,Other,4,3,7.1,1.2,7,1
OLTREFERSINA,Platanus x hispanica,8,7,38.5,2.4,7.9,1
CENTRO STORICO PIEDICASTELLO,Other,16,9,63.6,4.8,20.3,1
S.GIUSEPPE-S.CHIARA,Other,13,7,38.5,3.9,44,1
CENTRO STORICO PIEDICASTELLO,Other,8.300000000000001,6,28.3,2.5,11.8,5
CENTRO STORICO PIEDICASTELLO,Other,14,6,28.3,4.2,40.3,1
S.GIUSEPPE-S.CHIARA,Other,10,7,38.5,3,11.6,1
S.GIUSEPPE-S.CHIARA,Other,7,5,19.6,2.1,32,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,15,5,19.6,4.5,34.5,1
CENTRO STORICO PIEDICASTELLO,Carpinus betulus,5,2,3.1,1.5,4.5,1
CENTRO STORICO PIEDICASTELLO,Other,11,5,19.6,3.3,24.8,2
CENTRO STORICO PIEDICASTELLO,Celtis australis,6,8,50.3,1.8,2.8,1
OLTREFERSINA,Other,6,4,12.6,1.8,11.5,3
RAVINA-ROMAGNANO,Other,7,2,3.1,2.1,8.699999999999999,1
OLTREFERSINA,Other,14,8,50.3,4.2,34.2,1
GARDOLO,Other,10,8,50.3,3,13,1
GARDOLO,Other,5,6,28.3,1.5,17.8,1
CENTRO STORICO PIEDICASTELLO,Other,12,5,19.6,3.6,25.4,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,7,7,38.5,2.1,12.8,1
S.GIUSEPPE-S.CHIARA,Carpinus betulus,14,8,50.3,4.2,9.9,1
S.GIUSEPPE-S.CHIARA,Other,5,3,7.1,1.5,8,1
BONDONE,Other,5,4,12.6,1.5,14.8,1
OLTREFERSINA,Celtis australis,7,5,19.6,2.1,2.4,1
CENTRO STORICO PIEDICASTELLO,Carpinus betulus,5,4,12.6,1.5,7.3,1
MEANO,Other,5,5,19.6,1.5,28.2,2
VILLAZZANO,Other,5,4,12.6,1.5,3.2,1
CENTRO STORICO PIEDICASTELLO,Other,8,4,12.6,2.4,12.9,1
BONDONE,Other,4,3,7.1,1.2,11.4,1
OLTREFERSINA,Other,4,2.5,4.9,1.2,4.4,2
OLTREFERSINA,Other,8,7,38.5,2.4,35.1,5
ARGENTARIO,Other,8,6,28.3,2.4,19.3,1
CENTRO STORICO PIEDICASTELLO,Other,5,5,19.6,1.5,7.9,1
CENTRO STORICO PIEDICASTELLO,Other,18.7,6.6,33.8,5.6,57.7,2
CENTRO STORICO PIEDICASTELLO,Other,14,6,28.3,4.2,18.9,1
OLTREFERSINA,Other,4.5,6,28.3,1.3,6.8,1
CENTRO STORICO PIEDICASTELLO,Other,8,4,12.6,2.4,5.1,1
S.GIUSEPPE-S.CHIARA,Other,4.5,2,3.1,1.3,2.1,1
MATTARELLO,Other,5,1,0.8,1.5,5.1,1
VILLAZZANO,Other,8,3,7.1,2.4,9.9,9
GARDOLO,Other,8,7,38.5,2.4,10.7,1
OLTREFERSINA,Other,7,6,28.3,2.1,13.4,2
CENTRO STORICO PIEDICASTELLO,Other,8,5,19.6,2.4,9.4,1
OLTREFERSINA,Carpinus betulus,12,3,7.1,3.6,10.5,2
OLTREFERSINA,Other,6,6,28.3,1.8,16.6,1
OLTREFERSINA,Carpinus betulus,15,4,12.6,4.5,16.2,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,7,4.5,15.9,2.1,6.8,1
OLTREFERSINA,Other,24,10,78.5,7.2,75.40000000000001,1
OLTREFERSINA,Other,7,6,28.3,2.1,16.7,1
OLTREFERSINA,Other,22,14,153.9,6.6,89.90000000000001,1
S.GIUSEPPE-S.CHIARA,Other,4.5,3,7.1,1.3,3.6,1
CENTRO STORICO PIEDICASTELLO,Other,5.5,4,12.6,1.7,6.2,2
CENTRO STORICO PIEDICASTELLO,Other,8.699999999999999,7.2,41.1,2.6,18.7,16
CENTRO STORICO PIEDICASTELLO,Other,6,5,19.6,1.8,8.699999999999999,1
GARDOLO,Other,5,2,3.1,1.5,2.5,18
S.GIUSEPPE-S.CHIARA,Other,9,8,50.3,2.7,16.9,1
CENTRO STORICO PIEDICASTELLO,Aesculus hippocastanum,10,6,28.3,3,18.6,1
CENTRO STORICO PIEDICASTELLO,Other,3.5,1.5,1.8,1,3.9,1
CENTRO STORICO PIEDICASTELLO,Other,4,5,19.6,1.2,3.4,4
S.GIUSEPPE-S.CHIARA,Other,5,7,38.5,1.5,16.9,1
GARDOLO,Other,6,4,12.6,1.8,1.6,2
GARDOLO,Other,7,6,28.3,2.1,5.2,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,20,12,113.1,6,5.2,1
GARDOLO,Tilia cordata,4,2.5,4.9,1.2,3,61
OLTREFERSINA,Other,6,4,12.6,1.8,4.9,2
VILLAZZANO,Other,8,4,12.6,2.4,9.5,1
S.GIUSEPPE-S.CHIARA,Other,6,4,12.6,1.8,6.2,2
S.GIUSEPPE-S.CHIARA,Other,10,10,78.5,3,11.6,2
VILLAZZANO,Other,10,3,7.1,3,12.2,1
RAVINA-ROMAGNANO,Other,4,2,3.1,1.2,26.9,1
GARDOLO,Other,6,1.5,1.8,1.8,4.8,2
CENTRO STORICO PIEDICASTELLO,Other,6,4,12.6,1.8,8.6,1
GARDOLO,Other,7,6,28.3,2.1,9.6,1
S.GIUSEPPE-S.CHIARA,Other,15,8,50.3,4.5,70.3,1
CENTRO STORICO PIEDICASTELLO,Other,11,9,63.6,3.3,10.3,1
S.GIUSEPPE-S.CHIARA,Other,1.3,5.3,21.7,0.4,28.4,1
OLTREFERSINA,Other,15,5,19.6,4.5,27.6,2
GARDOLO,Other,6,2,3.1,1.8,4.8,1
GARDOLO,Other,4,2,3.1,1.2,3.2,2
S.GIUSEPPE-S.CHIARA,Other,9,4,12.6,2.7,9.4,1
OLTREFERSINA,Other,4,3.5,9.6,1.2,11.6,1
OLTREFERSINA,Other,15,7,38.5,4.5,42.1,1
OLTREFERSINA,Other,4,2.5,4.9,1.2,3.6,1
S.GIUSEPPE-S.CHIARA,Other,4,2.5,4.9,1.2,4.3,3
OLTREFERSINA,Other,5,3,7.1,1.5,8.1,1
S.GIUSEPPE-S.CHIARA,Other,6,3,7.1,1.8,7.6,1
OLTREFERSINA,Platanus x hispanica,20,17,227,6,14.6,1
GARDOLO,Platanus x hispanica,13,10,78.5,3.9,22.8,1
S.GIUSEPPE-S.CHIARA,Other,8,6,28.3,2.4,5.5,2
CENTRO STORICO PIEDICASTELLO,Other,5,4,12.6,1.5,6,1
GARDOLO,Other,14,9,63.6,4.2,16.8,1
S.GIUSEPPE-S.CHIARA,Other,5,4,12.6,1.5,10.8,1
CENTRO STORICO PIEDICASTELLO,Other,5,4,12.6,1.5,10.9,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,10,8,50.3,3,46.9,4
S.GIUSEPPE-S.CHIARA,Other,6,7,38.5,1.8,15.2,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,10,8,50.3,3,3.1,1
OLTREFERSINA,Celtis australis,8,9,63.6,2.4,5.4,1
GARDOLO,Platanus x hispanica,8,8,50.3,2.4,9.4,6
CENTRO STORICO PIEDICASTELLO,Other,21,9,63.6,6.3,50.1,1
CENTRO STORICO PIEDICASTELLO,Other,6,6,28.3,1.8,9.300000000000001,2
BONDONE,Other,4,2,3.1,1.2,1.1,3
RAVINA-ROMAGNANO,Tilia cordata,8,4,12.6,2.4,5.1,3
OLTREFERSINA,Other,9,6,28.3,2.7,47.3,1
GARDOLO,Other,21,13,132.7,6.3,38.7,1
S.GIUSEPPE-S.CHIARA,Other,19,12,113.1,5.7,77.5,1
OLTREFERSINA,Other,12,8,50.3,3.6,21.5,1
OLTREFERSINA,Other,5,2.5,4.9,1.5,7.1,1
MATTARELLO,Other,5,1,0.8,1.5,9.300000000000001,1
S.GIUSEPPE-S.CHIARA,Tilia cordata,4,1.5,1.8,1.2,1.8,1
CENTRO STORICO PIEDICASTELLO,Other,2,5.3,21.7,0.6,22.2,9
S.GIUSEPPE-S.CHIARA,Other,4,1,0.8,1.2,1.4,3
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,4.5,4.5,15.9,1.3,4.9,1
OLTREFERSINA,Other,21,11,95,6.3,56.3,2
S.GIUSEPPE-S.CHIARA,Other,11,6,28.3,3.3,22.3,1
OLTREFERSINA,Other,6,5.5,23.8,1.8,6.1,1
S.GIUSEPPE-S.CHIARA,Other,7,6,28.3,2.1,14.3,7
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,8,7,38.5,2.4,15.1,1
CENTRO STORICO PIEDICASTELLO,Other,20,3,7.1,6,7.2,4
VILLAZZANO,Carpinus betulus,4,3,7.1,1.2,4.5,1
MEANO,Other,6,4,12.6,1.8,14.8,4
VILLAZZANO,Other,4.5,1.5,1.8,1.3,3.4,1
CENTRO STORICO PIEDICASTELLO,Other,8,6,28.3,2.4,9.699999999999999,1
VILLAZZANO,Other,12,10,78.5,3.6,17.9,1
S.GIUSEPPE-S.CHIARA,Other,19,5,19.6,5.7,30,1
CENTRO STORICO PIEDICASTELLO,Other,5.5,4.5,15.9,1.7,6.7,1
S.GIUSEPPE-S.CHIARA,Other,15,11,95,4.5,61.8,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,8,8,50.3,2.4,10.7,1
CENTRO STORICO PIEDICASTELLO,Other,3,2,3.1,0.9,3.9,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,7,7,38.5,2.1,3.1,1
S.GIUSEPPE-S.CHIARA,Other,5.1,3.3,8.4,1.5,4.3,3
CENTRO STORICO PIEDICASTELLO,Tilia cordata,6.4,4.4,14.9,1.9,6.8,5
CENTRO STORICO PIEDICASTELLO,Other,4,1.5,1.8,1.2,1.4,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,9,6,28.3,2.7,18.5,1
OLTREFERSINA,Other,6,3,7.1,1.8,17.1,1
GARDOLO,Other,4,2,3.1,1.2,20.8,1
CENTRO STORICO PIEDICASTELLO,Other,7,3,7.1,2.1,10,1
GARDOLO,Other,5,4,12.6,1.5,1.6,2
S.GIUSEPPE-S.CHIARA,Other,25,8,50.3,7.5,52,1
CENTRO STORICO PIEDICASTELLO,Other,15,8,50.3,4.5,20,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,8,8,50.3,2.4,3.9,1
OLTREFERSINA,Celtis australis,13,8,50.3,3.9,3.1,1
CENTRO STORICO PIEDICASTELLO,Other,7,7,38.5,2.1,26.6,1
CENTRO STORICO PIEDICASTELLO,Other,8,7,38.5,2.4,13.3,1
S.GIUSEPPE-S.CHIARA,Other,11,5,19.6,3.3,10.9,1
S.GIUSEPPE-S.CHIARA,Other,6,5,19.6,1.8,11.7,2
S.GIUSEPPE-S.CHIARA,Other,4,3,7.1,1.2,4.1,1
S.GIUSEPPE-S.CHIARA,Other,17,10,78.5,5.1,46.5,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,7,7,38.5,2.1,2.5,1
OLTREFERSINA,Other,19,8,50.3,5.7,45.5,1
ARGENTARIO,Celtis australis,5,4,12.6,1.5,2.5,8
S.GIUSEPPE-S.CHIARA,Tilia cordata,15,6,28.3,4.5,33.2,1
OLTREFERSINA,Other,7,3,7.1,2.1,4.6,1
RAVINA-ROMAGNANO,Celtis australis,7,8,50.3,2.1,2.6,1
VILLAZZANO,Other,8,3,7.1,2.4,9.199999999999999,1
S.GIUSEPPE-S.CHIARA,Other,26,18,254.5,7.8,21.8,1
OLTREFERSINA,Other,5,1,0.8,1.5,5.4,1
GARDOLO,Other,6,6,28.3,1.8,12,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,19,13,132.7,5.7,82.59999999999999,1
GARDOLO,Other,4,1,0.8,1.2,2.1,1
CENTRO STORICO PIEDICASTELLO,Other,6,7,38.5,1.8,10.1,1
CENTRO STORICO PIEDICASTELLO,Other,3.5,3,7.1,1,3.7,1
OLTREFERSINA,Other,5,6,28.3,1.5,16.3,2
CENTRO STORICO PIEDICASTELLO,Other,3,1,0.8,0.9,11.7,2
CENTRO STORICO PIEDICASTELLO,Other,14,7,38.5,4.2,11.7,1
OLTREFERSINA,Celtis australis,5.5,3,7.1,1.7,2.8,1
OLTREFERSINA,Other,8,6,28.3,2.4,14.2,1
VILLAZZANO,Other,5,5,19.6,1.5,7.9,1
CENTRO STORICO PIEDICASTELLO,Other,5,2,3.1,1.5,8.199999999999999,1
ARGENTARIO,Other,8,12,113.1,2.4,13.6,1
CENTRO STORICO PIEDICASTELLO,Other,3,1,0.8,0.9,2.4,3
S.GIUSEPPE-S.CHIARA,Other,11,8,50.3,3.3,13.5,1
OLTREFERSINA,Other,25,11,95,7.5,58.1,1
GARDOLO,Other,4,2,3.1,1.2,1.2,2
BONDONE,Other,5,4,12.6,1.5,28.1,1
MEANO,Other,6,3,7.1,1.8,4.1,3
POVO,Celtis australis,8,5,19.6,2.4,3.9,3
S.GIUSEPPE-S.CHIARA,Other,2,1.5,1.8,0.6,4.3,2
CENTRO STORICO PIEDICASTELLO,Other,12,2,3.1,3.6,7.6,1
MATTARELLO,Other,10,4,12.6,3,9.199999999999999,1
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,8,7,38.5,2.4,16.7,2
S.GIUSEPPE-S.CHIARA,Other,6,6,28.3,1.8,25.5,1
S.GIUSEPPE-S.CHIARA,Other,9,8,50.3,2.7,20.4,1
S.GIUSEPPE-S.CHIARA,Other,3.5,1.5,1.8,1,1.5,1
OLTREFERSINA,Other,6,5,19.6,1.8,11.6,1
S.GIUSEPPE-S.CHIARA,Other,3,3.5,9.6,0.9,7,1
ARGENTARIO,Other,15,12,113.1,4.5,70.3,1
CENTRO STORICO PIEDICASTELLO,Carpinus betulus,20,4,12.6,6,1,1
S.GIUSEPPE-S.CHIARA,Other,2,1,0.8,0.6,2.1,4
RAVINA-ROMAGNANO,Other,8,4,12.6,2.4,15.4,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,9,12,113.1,2.7,3.1,1
S.GIUSEPPE-S.CHIARA,Other,6,4,12.6,1.8,13.3,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,12,8,50.3,3.6,4.7,2
CENTRO STORICO PIEDICASTELLO,Other,15,3,7.1,4.5,10.7,1
CENTRO STORICO PIEDICASTELLO,Other,7,6,28.3,2.1,10.6,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,15,11,95,4.5,5.8,1
S.GIUSEPPE-S.CHIARA,Other,6,5,19.6,1.8,3.7,1
OLTREFERSINA,Other,4,1.5,1.8,1.2,2.3,1
CENTRO STORICO PIEDICASTELLO,Platanus x hispanica,16,15,176.7,4.8,42,1
OLTREFERSINA,Celtis australis,12,10,78.5,3.6,4.8,2
S.GIUSEPPE-S.CHIARA,Other,26,12,113.1,7.8,54.6,2
OLTREFERSINA,Platanus x hispanica,4,3,7.1,1.2,4.1,3
CENTRO STORICO PIEDICASTELLO,Other,7.7,4.1,13.3,2.3,14,1
CENTRO STORICO PIEDICASTELLO,Other,7.5,7.5,44.2,2.3,13.1,1
GARDOLO,Platanus x hispanica,6,3,7.1,1.8,6.5,2
GARDOLO,Other,3,1,0.8,0.9,1.7,1
S.GIUSEPPE-S.CHIARA,Other,11,5.5,23.8,3.3,7.6,1
CENTRO STORICO PIEDICASTELLO,Other,10,12,113.1,3,21.1,1
VILLAZZANO,Other,4,4,12.6,1.2,17.1,1
S.GIUSEPPE-S.CHIARA,Carpinus betulus,5,3,7.1,1.5,5.6,2
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,3.5,1.5,1.8,1,3.4,1
S.GIUSEPPE-S.CHIARA,Other,16,7,38.5,4.8,42.3,2
OLTREFERSINA,Other,6,4,12.6,1.8,14.1,3
OLTREFERSINA,Aesculus hippocastanum,9.5,7,38.5,2.8,12.3,1
OLTREFERSINA,Other,12,8,50.3,3.6,12.4,1
OLTREFERSINA,Other,5,5,19.6,1.5,6.4,1
CENTRO STORICO PIEDICASTELLO,Other,4,2,3.1,1.2,3.8,2
GARDOLO,Tilia cordata,16,9,63.6,4.8,19.2,1
OLTREFERSINA,Other,8,3,7.1,2.4,12.1,2
S.GIUSEPPE-S.CHIARA,Other,8,5,19.6,2.4,15.1,1
OLTREFERSINA,Other,5,3,7.1,1.5,20.5,1
CENTRO STORICO PIEDICASTELLO,Other,12,9,63.6,3.6,10.2,1
CENTRO STORICO PIEDICASTELLO,Other,10,4,12.6,3,6.2,1
CENTRO STORICO PIEDICASTELLO,Other,14,8,50.3,4.2,12.2,1
OLTREFERSINA,Other,4,1,0.8,1.2,4.8,2
S.GIUSEPPE-S.CHIARA,Aesculus hippocastanum,8,8,50.3,2.4,25.5,2
S.GIUSEPPE-S.CHIARA,Other,4.5,2.5,4.9,1.3,4.1,1
S.GIUSEPPE-S.CHIARA,Carpinus betulus,9,5,19.6,2.7,17.9,1
OLTREFERSINA,Carpinus betulus,10.5,6,28.3,3.2,12.8,1
MATTARELLO,Other,14,1,0.8,4.2,22.3,6
OLTREFERSINA,Other,12,6,28.3,3.6,8.300000000000001,8
OLTREFERSINA,Other,22,26,530.9,6.6,13.3,1
OLTREFERSINA,Other,2,2,3.1,0.6,4.3,1
S.GIUSEPPE-S.CHIARA,Other,11,6,28.3,3.3,44,1
BONDONE,Other,10,1,0.8,3,16.3,3
POVO,Celtis australis,5,4,12.6,1.5,3.6,1
CENTRO STORICO PIEDICASTELLO,Tilia cordata,20,7,38.5,6,33.2,1
CENTRO STORICO PIEDICASTELLO,Other,14,11,95,4.2,0.5,1
GARDOLO,Other,4,2,3.1,1.2,5.8,1
GARDOLO,Other,6,5,19.6,1.8,5,4
RAVINA-ROMAGNANO,Other,8,8,50.3,2.4,11.7,1
S.GIUSEPPE-S.CHIARA,Other,9,7,38.5,2.7,17.9,1
S.GIUSEPPE-S.CHIARA,Other,14,12,113.1,4.2,37.7,1
CENTRO STORICO PIEDICASTELLO,Other,15,6,28.3,4.5,14,1
ARGENTARIO,Other,4,1.5,1.8,1.2,2,12
S.GIUSEPPE-S.CHIARA,Other,8,8,50.3,2.4,26.2,1
S.GIUSEPPE-S.CHIARA,Other,4.5,6,28.3,1.4,8,1
CENTRO STORICO PIEDICASTELLO,Other,6.5,8,50.3,1.9,12.2,1
CENTRO STORICO PIEDICASTELLO,Celtis australis,4,5,19.6,1.2,2.3,1
OLTREFERSINA,Other,5,4,12.6,1.5,17.1,1
GARDOLO,Other,6,3,7.1,1.8,8.199999999999999,7
S.GIUSEPPE-S.CHIARA,Other,15,9,63.6,4.5,61.8,1
S.GIUSEPPE-S.CHIARA,Other,10,7,38.5,3,24.9,1
S.GIUSEPPE-S.CHIARA,Other,11.7,3.7,10.7,3.5,28.6,1
GARDOLO,Celtis australis,4.5,3,7.1,1.3,1.7,2
