Name,Count,Mean Canopy Cover (m2)
Celtis australis,1028,42.34
Aesculus hippocastanum,581,40.89
Carpinus betulus,536,13.55
Tilia cordata,509,19.85
Platanus x hispanica,502,102.36
Tilia x europaea,471,33.7
Acer campestre,458,11.88
Cupressus,399,4.49
Sophora japonica,376,39.66
Prunus cerasifera,350,13.3
