Neighborhood,Name,Count
MATTARELLO,Aesculus hippocastanum,1
MATTARELLO,Carpinus betulus,13
MATTARELLO,Celtis australis,25
MATTARELLO,Other,213
MATTARELLO,Platanus x hispanica,6
MATTARELLO,Tilia cordata,6
