Neighborhood,Name,Count
OLTREFERSINA,Aesculus hippocastanum,34
OLTREFERSINA,Carpinus betulus,126
OLTREFERSINA,Celtis australis,341
OLTREFERSINA,Other,2047
OLTREFERSINA,Platanus x hispanica,31
OLTREFERSINA,Tilia cordata,116
