Neighborhood,Name,Count
RAVINA-ROMAGNANO,Aesculus hippocastanum,3
RAVINA-ROMAGNANO,Carpinus betulus,5
RAVINA-ROMAGNANO,Celtis australis,15
RAVINA-ROMAGNANO,Other,239
RAVINA-ROMAGNANO,Platanus x hispanica,23
RAVINA-ROMAGNANO,Tilia cordata,34
